isin,coupon,coupon_rate,maturity_date,issue_date,years_to_maturity
CA135087R226,4.5000%,4.5,2026-02-01,2023-11-01,0.07392197125256673
CA135087R556,4.0000%,4.0,2026-05-01,2024-02-12,0.31759069130732376
CA135087L930,1.0000%,1.0,2026-09-01,2021-04-16,0.6543463381245722
CA135087M847,1.2500%,1.25,2027-03-01,2021-10-15,1.1498973305954825
CA135087T461,2.5000%,2.5,2027-08-01,2025-05-15,1.568788501026694
CA135087N837,2.7500%,2.75,2027-09-01,2022-05-13,1.6536618754277892
CA135087T958,2.2500%,2.25,2028-02-01,2025-11-14,2.0725530458590007
CA135087Q491,3.2500%,3.25,2028-09-01,2023-04-21,2.6557152635181382
CA135087R895,3.5000%,3.5,2029-09-01,2024-04-08,3.6550308008213555
CA135087S471,2.7500%,2.75,2030-03-01,2024-10-03,4.1505817932922655
