Term,bond_page_url,tkData,chart_json_url,ISIN,Name,Country,Issuer,Issue Volume,Currency,Issue Price,Issue Date,Coupon,Denomination,Quotation Type,Payment Type,Special Coupon Type,Maturity Date,Coupon Payment Date,Payment Frequency,No. of Payments per Year,Coupon Start Date,Final Coupon Date,Floater?,date,Close Price (% of par)
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_201829-bond-2029-ca135087j397?miRedirects=1,"1,42965744,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,42965744,1330,184&from=20260105&to=20260119",CA135087J397,CDA 18/29,Canada,"Canada, Government of...","12,300,000,000",CAD,99.95,7/27/2018,2.250%,1000,,regular interest,,6/1/2029,6/1/2026,,2.0,12/1/2018,5/31/2029,No,2026-01-05,98.27
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_201829-bond-2029-ca135087j397?miRedirects=1,"1,42965744,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,42965744,1330,184&from=20260105&to=20260119",CA135087J397,CDA 18/29,Canada,"Canada, Government of...","12,300,000,000",CAD,99.95,7/27/2018,2.250%,1000,,regular interest,,6/1/2029,6/1/2026,,2.0,12/1/2018,5/31/2029,No,2026-01-06,98.38
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_201829-bond-2029-ca135087j397?miRedirects=1,"1,42965744,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,42965744,1330,184&from=20260105&to=20260119",CA135087J397,CDA 18/29,Canada,"Canada, Government of...","12,300,000,000",CAD,99.95,7/27/2018,2.250%,1000,,regular interest,,6/1/2029,6/1/2026,,2.0,12/1/2018,5/31/2029,No,2026-01-07,98.42
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_201829-bond-2029-ca135087j397?miRedirects=1,"1,42965744,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,42965744,1330,184&from=20260105&to=20260119",CA135087J397,CDA 18/29,Canada,"Canada, Government of...","12,300,000,000",CAD,99.95,7/27/2018,2.250%,1000,,regular interest,,6/1/2029,6/1/2026,,2.0,12/1/2018,5/31/2029,No,2026-01-08,98.39
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_201829-bond-2029-ca135087j397?miRedirects=1,"1,42965744,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,42965744,1330,184&from=20260105&to=20260119",CA135087J397,CDA 18/29,Canada,"Canada, Government of...","12,300,000,000",CAD,99.95,7/27/2018,2.250%,1000,,regular interest,,6/1/2029,6/1/2026,,2.0,12/1/2018,5/31/2029,No,2026-01-09,98.37
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_201829-bond-2029-ca135087j397?miRedirects=1,"1,42965744,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,42965744,1330,184&from=20260105&to=20260119",CA135087J397,CDA 18/29,Canada,"Canada, Government of...","12,300,000,000",CAD,99.95,7/27/2018,2.250%,1000,,regular interest,,6/1/2029,6/1/2026,,2.0,12/1/2018,5/31/2029,No,2026-01-12,98.39
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_201829-bond-2029-ca135087j397?miRedirects=1,"1,42965744,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,42965744,1330,184&from=20260105&to=20260119",CA135087J397,CDA 18/29,Canada,"Canada, Government of...","12,300,000,000",CAD,99.95,7/27/2018,2.250%,1000,,regular interest,,6/1/2029,6/1/2026,,2.0,12/1/2018,5/31/2029,No,2026-01-13,98.34
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_201829-bond-2029-ca135087j397?miRedirects=1,"1,42965744,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,42965744,1330,184&from=20260105&to=20260119",CA135087J397,CDA 18/29,Canada,"Canada, Government of...","12,300,000,000",CAD,99.95,7/27/2018,2.250%,1000,,regular interest,,6/1/2029,6/1/2026,,2.0,12/1/2018,5/31/2029,No,2026-01-14,98.4
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_201829-bond-2029-ca135087j397?miRedirects=1,"1,42965744,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,42965744,1330,184&from=20260105&to=20260119",CA135087J397,CDA 18/29,Canada,"Canada, Government of...","12,300,000,000",CAD,99.95,7/27/2018,2.250%,1000,,regular interest,,6/1/2029,6/1/2026,,2.0,12/1/2018,5/31/2029,No,2026-01-15,98.46
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_201829-bond-2029-ca135087j397?miRedirects=1,"1,42965744,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,42965744,1330,184&from=20260105&to=20260119",CA135087J397,CDA 18/29,Canada,"Canada, Government of...","12,300,000,000",CAD,99.95,7/27/2018,2.250%,1000,,regular interest,,6/1/2029,6/1/2026,,2.0,12/1/2018,5/31/2029,No,2026-01-16,98.47
