Term,bond_page_url,tkData,chart_json_url,ISIN,Name,Country,Issuer,Issue Volume,Currency,Issue Price,Issue Date,Coupon,Denomination,Quotation Type,Payment Type,Special Coupon Type,Maturity Date,Coupon Payment Date,Payment Frequency,No. of Payments per Year,Coupon Start Date,Final Coupon Date,Floater?,date,Close Price (% of par)
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202030_series_l443-bond-2030-ca135087l443?miRedirects=1,"1,57501684,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,57501684,1330,184&from=20260105&to=20260119",CA135087L443,CANADA 20/30,Canada,"Canada, Government of...","40,000,000,000",CAD,98.96,10/5/2020,0.500%,1000,,regular interest,,12/1/2030,6/1/2026,,2.0,12/1/2020,11/30/2030,No,2026-01-05,88.64
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202030_series_l443-bond-2030-ca135087l443?miRedirects=1,"1,57501684,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,57501684,1330,184&from=20260105&to=20260119",CA135087L443,CANADA 20/30,Canada,"Canada, Government of...","40,000,000,000",CAD,98.96,10/5/2020,0.500%,1000,,regular interest,,12/1/2030,6/1/2026,,2.0,12/1/2020,11/30/2030,No,2026-01-06,88.77
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202030_series_l443-bond-2030-ca135087l443?miRedirects=1,"1,57501684,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,57501684,1330,184&from=20260105&to=20260119",CA135087L443,CANADA 20/30,Canada,"Canada, Government of...","40,000,000,000",CAD,98.96,10/5/2020,0.500%,1000,,regular interest,,12/1/2030,6/1/2026,,2.0,12/1/2020,11/30/2030,No,2026-01-07,88.845
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202030_series_l443-bond-2030-ca135087l443?miRedirects=1,"1,57501684,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,57501684,1330,184&from=20260105&to=20260119",CA135087L443,CANADA 20/30,Canada,"Canada, Government of...","40,000,000,000",CAD,98.96,10/5/2020,0.500%,1000,,regular interest,,12/1/2030,6/1/2026,,2.0,12/1/2020,11/30/2030,No,2026-01-08,88.82
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202030_series_l443-bond-2030-ca135087l443?miRedirects=1,"1,57501684,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,57501684,1330,184&from=20260105&to=20260119",CA135087L443,CANADA 20/30,Canada,"Canada, Government of...","40,000,000,000",CAD,98.96,10/5/2020,0.500%,1000,,regular interest,,12/1/2030,6/1/2026,,2.0,12/1/2020,11/30/2030,No,2026-01-09,88.83
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202030_series_l443-bond-2030-ca135087l443?miRedirects=1,"1,57501684,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,57501684,1330,184&from=20260105&to=20260119",CA135087L443,CANADA 20/30,Canada,"Canada, Government of...","40,000,000,000",CAD,98.96,10/5/2020,0.500%,1000,,regular interest,,12/1/2030,6/1/2026,,2.0,12/1/2020,11/30/2030,No,2026-01-12,88.9
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202030_series_l443-bond-2030-ca135087l443?miRedirects=1,"1,57501684,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,57501684,1330,184&from=20260105&to=20260119",CA135087L443,CANADA 20/30,Canada,"Canada, Government of...","40,000,000,000",CAD,98.96,10/5/2020,0.500%,1000,,regular interest,,12/1/2030,6/1/2026,,2.0,12/1/2020,11/30/2030,No,2026-01-13,88.86
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202030_series_l443-bond-2030-ca135087l443?miRedirects=1,"1,57501684,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,57501684,1330,184&from=20260105&to=20260119",CA135087L443,CANADA 20/30,Canada,"Canada, Government of...","40,000,000,000",CAD,98.96,10/5/2020,0.500%,1000,,regular interest,,12/1/2030,6/1/2026,,2.0,12/1/2020,11/30/2030,No,2026-01-14,88.94
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202030_series_l443-bond-2030-ca135087l443?miRedirects=1,"1,57501684,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,57501684,1330,184&from=20260105&to=20260119",CA135087L443,CANADA 20/30,Canada,"Canada, Government of...","40,000,000,000",CAD,98.96,10/5/2020,0.500%,1000,,regular interest,,12/1/2030,6/1/2026,,2.0,12/1/2020,11/30/2030,No,2026-01-15,89.05
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202030_series_l443-bond-2030-ca135087l443?miRedirects=1,"1,57501684,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,57501684,1330,184&from=20260105&to=20260119",CA135087L443,CANADA 20/30,Canada,"Canada, Government of...","40,000,000,000",CAD,98.96,10/5/2020,0.500%,1000,,regular interest,,12/1/2030,6/1/2026,,2.0,12/1/2020,11/30/2030,No,2026-01-16,89.06
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202030_series_l443-bond-2030-ca135087l443?miRedirects=1,"1,57501684,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,57501684,1330,184&from=20260105&to=20260119",CA135087L443,CANADA 20/30,Canada,"Canada, Government of...","40,000,000,000",CAD,98.96,10/5/2020,0.500%,1000,,regular interest,,12/1/2030,6/1/2026,,2.0,12/1/2020,11/30/2030,No,2026-01-19,88.96
