Term,bond_page_url,tkData,chart_json_url,ISIN,Name,Country,Issuer,Issue Volume,Currency,Issue Price,Issue Date,Coupon,Denomination,Quotation Type,Payment Type,Special Coupon Type,Maturity Date,Coupon Payment Date,Payment Frequency,No. of Payments per Year,Coupon Start Date,Final Coupon Date,Floater?,date,Close Price (% of par)
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202131-bond-2031-ca135087m276?miRedirects=1,"1,111293704,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,111293704,1330,184&from=20260105&to=20260119",CA135087M276,CANADA 21/31,Canada,"Canada, Government of...","42,000,000,000",CAD,98.85,4/26/2021,1.500%,1000,,regular interest,,6/1/2031,6/1/2026,,2.0,6/1/2021,5/31/2031,No,2026-01-05,92.27
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202131-bond-2031-ca135087m276?miRedirects=1,"1,111293704,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,111293704,1330,184&from=20260105&to=20260119",CA135087M276,CANADA 21/31,Canada,"Canada, Government of...","42,000,000,000",CAD,98.85,4/26/2021,1.500%,1000,,regular interest,,6/1/2031,6/1/2026,,2.0,6/1/2021,5/31/2031,No,2026-01-06,92.42
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202131-bond-2031-ca135087m276?miRedirects=1,"1,111293704,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,111293704,1330,184&from=20260105&to=20260119",CA135087M276,CANADA 21/31,Canada,"Canada, Government of...","42,000,000,000",CAD,98.85,4/26/2021,1.500%,1000,,regular interest,,6/1/2031,6/1/2026,,2.0,6/1/2021,5/31/2031,No,2026-01-07,92.45
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202131-bond-2031-ca135087m276?miRedirects=1,"1,111293704,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,111293704,1330,184&from=20260105&to=20260119",CA135087M276,CANADA 21/31,Canada,"Canada, Government of...","42,000,000,000",CAD,98.85,4/26/2021,1.500%,1000,,regular interest,,6/1/2031,6/1/2026,,2.0,6/1/2021,5/31/2031,No,2026-01-08,92.46
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202131-bond-2031-ca135087m276?miRedirects=1,"1,111293704,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,111293704,1330,184&from=20260105&to=20260119",CA135087M276,CANADA 21/31,Canada,"Canada, Government of...","42,000,000,000",CAD,98.85,4/26/2021,1.500%,1000,,regular interest,,6/1/2031,6/1/2026,,2.0,6/1/2021,5/31/2031,No,2026-01-09,92.44
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202131-bond-2031-ca135087m276?miRedirects=1,"1,111293704,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,111293704,1330,184&from=20260105&to=20260119",CA135087M276,CANADA 21/31,Canada,"Canada, Government of...","42,000,000,000",CAD,98.85,4/26/2021,1.500%,1000,,regular interest,,6/1/2031,6/1/2026,,2.0,6/1/2021,5/31/2031,No,2026-01-12,92.51
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202131-bond-2031-ca135087m276?miRedirects=1,"1,111293704,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,111293704,1330,184&from=20260105&to=20260119",CA135087M276,CANADA 21/31,Canada,"Canada, Government of...","42,000,000,000",CAD,98.85,4/26/2021,1.500%,1000,,regular interest,,6/1/2031,6/1/2026,,2.0,6/1/2021,5/31/2031,No,2026-01-13,92.47
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202131-bond-2031-ca135087m276?miRedirects=1,"1,111293704,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,111293704,1330,184&from=20260105&to=20260119",CA135087M276,CANADA 21/31,Canada,"Canada, Government of...","42,000,000,000",CAD,98.85,4/26/2021,1.500%,1000,,regular interest,,6/1/2031,6/1/2026,,2.0,6/1/2021,5/31/2031,No,2026-01-14,92.5
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202131-bond-2031-ca135087m276?miRedirects=1,"1,111293704,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,111293704,1330,184&from=20260105&to=20260119",CA135087M276,CANADA 21/31,Canada,"Canada, Government of...","42,000,000,000",CAD,98.85,4/26/2021,1.500%,1000,,regular interest,,6/1/2031,6/1/2026,,2.0,6/1/2021,5/31/2031,No,2026-01-15,92.66
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202131-bond-2031-ca135087m276?miRedirects=1,"1,111293704,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,111293704,1330,184&from=20260105&to=20260119",CA135087M276,CANADA 21/31,Canada,"Canada, Government of...","42,000,000,000",CAD,98.85,4/26/2021,1.500%,1000,,regular interest,,6/1/2031,6/1/2026,,2.0,6/1/2021,5/31/2031,No,2026-01-16,92.92
