Term,bond_page_url,tkData,chart_json_url,ISIN,Name,Country,Issuer,Issue Volume,Currency,Issue Price,Issue Date,Coupon,Denomination,Quotation Type,Payment Type,Special Coupon Type,Maturity Date,Coupon Payment Date,Payment Frequency,No. of Payments per Year,Coupon Start Date,Final Coupon Date,Floater?,date,Close Price (% of par)
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202229-bond-2029-ca135087n670?miRedirects=1,"1,117855494,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,117855494,1330,184&from=20260105&to=20260119",CA135087N670,CANADA 22/29,Canada,"Canada, Government of...","5,000,000,000",CAD,99.58,3/29/2022,2.250%,1000,,regular interest,,12/1/2029,6/1/2026,,2.0,6/1/2022,11/30/2029,No,2026-01-05,97.68
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202229-bond-2029-ca135087n670?miRedirects=1,"1,117855494,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,117855494,1330,184&from=20260105&to=20260119",CA135087N670,CANADA 22/29,Canada,"Canada, Government of...","5,000,000,000",CAD,99.58,3/29/2022,2.250%,1000,,regular interest,,12/1/2029,6/1/2026,,2.0,6/1/2022,11/30/2029,No,2026-01-06,97.73
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202229-bond-2029-ca135087n670?miRedirects=1,"1,117855494,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,117855494,1330,184&from=20260105&to=20260119",CA135087N670,CANADA 22/29,Canada,"Canada, Government of...","5,000,000,000",CAD,99.58,3/29/2022,2.250%,1000,,regular interest,,12/1/2029,6/1/2026,,2.0,6/1/2022,11/30/2029,No,2026-01-07,97.785
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202229-bond-2029-ca135087n670?miRedirects=1,"1,117855494,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,117855494,1330,184&from=20260105&to=20260119",CA135087N670,CANADA 22/29,Canada,"Canada, Government of...","5,000,000,000",CAD,99.58,3/29/2022,2.250%,1000,,regular interest,,12/1/2029,6/1/2026,,2.0,6/1/2022,11/30/2029,No,2026-01-08,97.75
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202229-bond-2029-ca135087n670?miRedirects=1,"1,117855494,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,117855494,1330,184&from=20260105&to=20260119",CA135087N670,CANADA 22/29,Canada,"Canada, Government of...","5,000,000,000",CAD,99.58,3/29/2022,2.250%,1000,,regular interest,,12/1/2029,6/1/2026,,2.0,6/1/2022,11/30/2029,No,2026-01-09,97.75
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202229-bond-2029-ca135087n670?miRedirects=1,"1,117855494,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,117855494,1330,184&from=20260105&to=20260119",CA135087N670,CANADA 22/29,Canada,"Canada, Government of...","5,000,000,000",CAD,99.58,3/29/2022,2.250%,1000,,regular interest,,12/1/2029,6/1/2026,,2.0,6/1/2022,11/30/2029,No,2026-01-12,97.78
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202229-bond-2029-ca135087n670?miRedirects=1,"1,117855494,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,117855494,1330,184&from=20260105&to=20260119",CA135087N670,CANADA 22/29,Canada,"Canada, Government of...","5,000,000,000",CAD,99.58,3/29/2022,2.250%,1000,,regular interest,,12/1/2029,6/1/2026,,2.0,6/1/2022,11/30/2029,No,2026-01-13,97.72
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202229-bond-2029-ca135087n670?miRedirects=1,"1,117855494,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,117855494,1330,184&from=20260105&to=20260119",CA135087N670,CANADA 22/29,Canada,"Canada, Government of...","5,000,000,000",CAD,99.58,3/29/2022,2.250%,1000,,regular interest,,12/1/2029,6/1/2026,,2.0,6/1/2022,11/30/2029,No,2026-01-14,97.79
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202229-bond-2029-ca135087n670?miRedirects=1,"1,117855494,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,117855494,1330,184&from=20260105&to=20260119",CA135087N670,CANADA 22/29,Canada,"Canada, Government of...","5,000,000,000",CAD,99.58,3/29/2022,2.250%,1000,,regular interest,,12/1/2029,6/1/2026,,2.0,6/1/2022,11/30/2029,No,2026-01-15,97.85
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202229-bond-2029-ca135087n670?miRedirects=1,"1,117855494,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,117855494,1330,184&from=20260105&to=20260119",CA135087N670,CANADA 22/29,Canada,"Canada, Government of...","5,000,000,000",CAD,99.58,3/29/2022,2.250%,1000,,regular interest,,12/1/2029,6/1/2026,,2.0,6/1/2022,11/30/2029,No,2026-01-16,97.86
