Term,bond_page_url,tkData,chart_json_url,ISIN,Name,Country,Issuer,Issue Volume,Currency,Issue Price,Issue Date,Coupon,Denomination,Quotation Type,Payment Type,Special Coupon Type,Maturity Date,Coupon Payment Date,Payment Frequency,No. of Payments per Year,Coupon Start Date,Final Coupon Date,Floater?,date,Close Price (% of par)
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202232-bond-2032-ca135087p329?miRedirects=1,"1,120914999,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,120914999,1330,184&from=20260105&to=20260119",CA135087P329,CANADA 22/32,Canada,"Canada, Government of...","21,000,000,000",CAD,97.96,8/8/2022,2.500%,1000,,regular interest,,12/1/2032,6/1/2026,,2.0,12/1/2022,11/30/2032,No,2026-01-05,95.528
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202232-bond-2032-ca135087p329?miRedirects=1,"1,120914999,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,120914999,1330,184&from=20260105&to=20260119",CA135087P329,CANADA 22/32,Canada,"Canada, Government of...","21,000,000,000",CAD,97.96,8/8/2022,2.500%,1000,,regular interest,,12/1/2032,6/1/2026,,2.0,12/1/2022,11/30/2032,No,2026-01-06,95.75
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202232-bond-2032-ca135087p329?miRedirects=1,"1,120914999,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,120914999,1330,184&from=20260105&to=20260119",CA135087P329,CANADA 22/32,Canada,"Canada, Government of...","21,000,000,000",CAD,97.96,8/8/2022,2.500%,1000,,regular interest,,12/1/2032,6/1/2026,,2.0,12/1/2022,11/30/2032,No,2026-01-07,95.895
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202232-bond-2032-ca135087p329?miRedirects=1,"1,120914999,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,120914999,1330,184&from=20260105&to=20260119",CA135087P329,CANADA 22/32,Canada,"Canada, Government of...","21,000,000,000",CAD,97.96,8/8/2022,2.500%,1000,,regular interest,,12/1/2032,6/1/2026,,2.0,12/1/2022,11/30/2032,No,2026-01-08,95.91
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202232-bond-2032-ca135087p329?miRedirects=1,"1,120914999,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,120914999,1330,184&from=20260105&to=20260119",CA135087P329,CANADA 22/32,Canada,"Canada, Government of...","21,000,000,000",CAD,97.96,8/8/2022,2.500%,1000,,regular interest,,12/1/2032,6/1/2026,,2.0,12/1/2022,11/30/2032,No,2026-01-09,95.87
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202232-bond-2032-ca135087p329?miRedirects=1,"1,120914999,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,120914999,1330,184&from=20260105&to=20260119",CA135087P329,CANADA 22/32,Canada,"Canada, Government of...","21,000,000,000",CAD,97.96,8/8/2022,2.500%,1000,,regular interest,,12/1/2032,6/1/2026,,2.0,12/1/2022,11/30/2032,No,2026-01-12,95.95
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202232-bond-2032-ca135087p329?miRedirects=1,"1,120914999,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,120914999,1330,184&from=20260105&to=20260119",CA135087P329,CANADA 22/32,Canada,"Canada, Government of...","21,000,000,000",CAD,97.96,8/8/2022,2.500%,1000,,regular interest,,12/1/2032,6/1/2026,,2.0,12/1/2022,11/30/2032,No,2026-01-13,95.89
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202232-bond-2032-ca135087p329?miRedirects=1,"1,120914999,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,120914999,1330,184&from=20260105&to=20260119",CA135087P329,CANADA 22/32,Canada,"Canada, Government of...","21,000,000,000",CAD,97.96,8/8/2022,2.500%,1000,,regular interest,,12/1/2032,6/1/2026,,2.0,12/1/2022,11/30/2032,No,2026-01-14,95.9
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202232-bond-2032-ca135087p329?miRedirects=1,"1,120914999,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,120914999,1330,184&from=20260105&to=20260119",CA135087P329,CANADA 22/32,Canada,"Canada, Government of...","21,000,000,000",CAD,97.96,8/8/2022,2.500%,1000,,regular interest,,12/1/2032,6/1/2026,,2.0,12/1/2022,11/30/2032,No,2026-01-15,96.433
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202232-bond-2032-ca135087p329?miRedirects=1,"1,120914999,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,120914999,1330,184&from=20260105&to=20260119",CA135087P329,CANADA 22/32,Canada,"Canada, Government of...","21,000,000,000",CAD,97.96,8/8/2022,2.500%,1000,,regular interest,,12/1/2032,6/1/2026,,2.0,12/1/2022,11/30/2032,No,2026-01-16,96.09
