Term,bond_page_url,tkData,chart_json_url,ISIN,Name,Country,Issuer,Issue Volume,Currency,Issue Price,Issue Date,Coupon,Denomination,Quotation Type,Payment Type,Special Coupon Type,Maturity Date,Coupon Payment Date,Payment Frequency,No. of Payments per Year,Coupon Start Date,Final Coupon Date,Floater?,date,Close Price (% of par)
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202333-bond-2033-ca135087q723?miRedirects=1,"1,128007448,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,128007448,1330,184&from=20260105&to=20260119",CA135087Q723,CANADA 23/33,Canada,"Canada, Government of...","21,000,000,000",CAD,97.97,6/26/2023,3.250%,1000,,regular interest,,12/1/2033,6/1/2026,,2.0,12/1/2023,11/30/2033,No,2026-01-05,99.64
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202333-bond-2033-ca135087q723?miRedirects=1,"1,128007448,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,128007448,1330,184&from=20260105&to=20260119",CA135087Q723,CANADA 23/33,Canada,"Canada, Government of...","21,000,000,000",CAD,97.97,6/26/2023,3.250%,1000,,regular interest,,12/1/2033,6/1/2026,,2.0,12/1/2023,11/30/2033,No,2026-01-06,99.915
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202333-bond-2033-ca135087q723?miRedirects=1,"1,128007448,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,128007448,1330,184&from=20260105&to=20260119",CA135087Q723,CANADA 23/33,Canada,"Canada, Government of...","21,000,000,000",CAD,97.97,6/26/2023,3.250%,1000,,regular interest,,12/1/2033,6/1/2026,,2.0,12/1/2023,11/30/2033,No,2026-01-07,99.945
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202333-bond-2033-ca135087q723?miRedirects=1,"1,128007448,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,128007448,1330,184&from=20260105&to=20260119",CA135087Q723,CANADA 23/33,Canada,"Canada, Government of...","21,000,000,000",CAD,97.97,6/26/2023,3.250%,1000,,regular interest,,12/1/2033,6/1/2026,,2.0,12/1/2023,11/30/2033,No,2026-01-08,99.87
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202333-bond-2033-ca135087q723?miRedirects=1,"1,128007448,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,128007448,1330,184&from=20260105&to=20260119",CA135087Q723,CANADA 23/33,Canada,"Canada, Government of...","21,000,000,000",CAD,97.97,6/26/2023,3.250%,1000,,regular interest,,12/1/2033,6/1/2026,,2.0,12/1/2023,11/30/2033,No,2026-01-09,99.895
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202333-bond-2033-ca135087q723?miRedirects=1,"1,128007448,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,128007448,1330,184&from=20260105&to=20260119",CA135087Q723,CANADA 23/33,Canada,"Canada, Government of...","21,000,000,000",CAD,97.97,6/26/2023,3.250%,1000,,regular interest,,12/1/2033,6/1/2026,,2.0,12/1/2023,11/30/2033,No,2026-01-12,99.95
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202333-bond-2033-ca135087q723?miRedirects=1,"1,128007448,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,128007448,1330,184&from=20260105&to=20260119",CA135087Q723,CANADA 23/33,Canada,"Canada, Government of...","21,000,000,000",CAD,97.97,6/26/2023,3.250%,1000,,regular interest,,12/1/2033,6/1/2026,,2.0,12/1/2023,11/30/2033,No,2026-01-13,99.85
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202333-bond-2033-ca135087q723?miRedirects=1,"1,128007448,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,128007448,1330,184&from=20260105&to=20260119",CA135087Q723,CANADA 23/33,Canada,"Canada, Government of...","21,000,000,000",CAD,97.97,6/26/2023,3.250%,1000,,regular interest,,12/1/2033,6/1/2026,,2.0,12/1/2023,11/30/2033,No,2026-01-14,100.02
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202333-bond-2033-ca135087q723?miRedirects=1,"1,128007448,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,128007448,1330,184&from=20260105&to=20260119",CA135087Q723,CANADA 23/33,Canada,"Canada, Government of...","21,000,000,000",CAD,97.97,6/26/2023,3.250%,1000,,regular interest,,12/1/2033,6/1/2026,,2.0,12/1/2023,11/30/2033,No,2026-01-15,100.13
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202333-bond-2033-ca135087q723?miRedirects=1,"1,128007448,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,128007448,1330,184&from=20260105&to=20260119",CA135087Q723,CANADA 23/33,Canada,"Canada, Government of...","21,000,000,000",CAD,97.97,6/26/2023,3.250%,1000,,regular interest,,12/1/2033,6/1/2026,,2.0,12/1/2023,11/30/2033,No,2026-01-16,100.15
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202333-bond-2033-ca135087q723?miRedirects=1,"1,128007448,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,128007448,1330,184&from=20260105&to=20260119",CA135087Q723,CANADA 23/33,Canada,"Canada, Government of...","21,000,000,000",CAD,97.97,6/26/2023,3.250%,1000,,regular interest,,12/1/2033,6/1/2026,,2.0,12/1/2023,11/30/2033,No,2026-01-19,100.01
