Term,bond_page_url,tkData,chart_json_url,ISIN,Name,Country,Issuer,Issue Volume,Currency,Issue Price,Issue Date,Coupon,Denomination,Quotation Type,Payment Type,Special Coupon Type,Maturity Date,Coupon Payment Date,Payment Frequency,No. of Payments per Year,Coupon Start Date,Final Coupon Date,Floater?,date,Close Price (% of par)
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202434-bond-2034-ca135087r713?miRedirects=1,"1,133356706,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,133356706,1330,184&from=20260105&to=20260119",CA135087R713,CANADA 24/34,Canada,"Canada, Government of...","6,000,000,000",CAD,99.62,3/1/2024,3.500%,1000,,regular interest,,3/1/2034,3/1/2026,,2.0,9/1/2024,2/28/2034,No,2026-01-05,101.49
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202434-bond-2034-ca135087r713?miRedirects=1,"1,133356706,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,133356706,1330,184&from=20260105&to=20260119",CA135087R713,CANADA 24/34,Canada,"Canada, Government of...","6,000,000,000",CAD,99.62,3/1/2024,3.500%,1000,,regular interest,,3/1/2034,3/1/2026,,2.0,9/1/2024,2/28/2034,No,2026-01-06,101.47
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202434-bond-2034-ca135087r713?miRedirects=1,"1,133356706,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,133356706,1330,184&from=20260105&to=20260119",CA135087R713,CANADA 24/34,Canada,"Canada, Government of...","6,000,000,000",CAD,99.62,3/1/2024,3.500%,1000,,regular interest,,3/1/2034,3/1/2026,,2.0,9/1/2024,2/28/2034,No,2026-01-07,101.79
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202434-bond-2034-ca135087r713?miRedirects=1,"1,133356706,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,133356706,1330,184&from=20260105&to=20260119",CA135087R713,CANADA 24/34,Canada,"Canada, Government of...","6,000,000,000",CAD,99.62,3/1/2024,3.500%,1000,,regular interest,,3/1/2034,3/1/2026,,2.0,9/1/2024,2/28/2034,No,2026-01-08,101.66
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202434-bond-2034-ca135087r713?miRedirects=1,"1,133356706,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,133356706,1330,184&from=20260105&to=20260119",CA135087R713,CANADA 24/34,Canada,"Canada, Government of...","6,000,000,000",CAD,99.62,3/1/2024,3.500%,1000,,regular interest,,3/1/2034,3/1/2026,,2.0,9/1/2024,2/28/2034,No,2026-01-09,101.765
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202434-bond-2034-ca135087r713?miRedirects=1,"1,133356706,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,133356706,1330,184&from=20260105&to=20260119",CA135087R713,CANADA 24/34,Canada,"Canada, Government of...","6,000,000,000",CAD,99.62,3/1/2024,3.500%,1000,,regular interest,,3/1/2034,3/1/2026,,2.0,9/1/2024,2/28/2034,No,2026-01-12,101.72
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202434-bond-2034-ca135087r713?miRedirects=1,"1,133356706,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,133356706,1330,184&from=20260105&to=20260119",CA135087R713,CANADA 24/34,Canada,"Canada, Government of...","6,000,000,000",CAD,99.62,3/1/2024,3.500%,1000,,regular interest,,3/1/2034,3/1/2026,,2.0,9/1/2024,2/28/2034,No,2026-01-13,101.64
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202434-bond-2034-ca135087r713?miRedirects=1,"1,133356706,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,133356706,1330,184&from=20260105&to=20260119",CA135087R713,CANADA 24/34,Canada,"Canada, Government of...","6,000,000,000",CAD,99.62,3/1/2024,3.500%,1000,,regular interest,,3/1/2034,3/1/2026,,2.0,9/1/2024,2/28/2034,No,2026-01-14,101.89
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202434-bond-2034-ca135087r713?miRedirects=1,"1,133356706,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,133356706,1330,184&from=20260105&to=20260119",CA135087R713,CANADA 24/34,Canada,"Canada, Government of...","6,000,000,000",CAD,99.62,3/1/2024,3.500%,1000,,regular interest,,3/1/2034,3/1/2026,,2.0,9/1/2024,2/28/2034,No,2026-01-15,101.94
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202434-bond-2034-ca135087r713?miRedirects=1,"1,133356706,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,133356706,1330,184&from=20260105&to=20260119",CA135087R713,CANADA 24/34,Canada,"Canada, Government of...","6,000,000,000",CAD,99.62,3/1/2024,3.500%,1000,,regular interest,,3/1/2034,3/1/2026,,2.0,9/1/2024,2/28/2034,No,2026-01-16,101.985
