Term,bond_page_url,tkData,chart_json_url,ISIN,Name,Country,Issuer,Issue Volume,Currency,Issue Price,Issue Date,Coupon,Denomination,Quotation Type,Payment Type,Special Coupon Type,Maturity Date,Coupon Payment Date,Payment Frequency,No. of Payments per Year,Coupon Start Date,Final Coupon Date,Floater?,date,Close Price (% of par)
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202434-bond-2034-ca135087s216?miRedirects=1,"1,136888775,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,136888775,1330,184&from=20260105&to=20260119",CA135087S216,CANADA 24/34,Canada,"Canada, Government of...","30,000,000,000",CAD,98.67,7/12/2024,3.250%,1000,,regular interest,,12/1/2034,6/1/2026,,2.0,12/1/2024,11/30/2034,No,2026-01-05,99.228
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202434-bond-2034-ca135087s216?miRedirects=1,"1,136888775,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,136888775,1330,184&from=20260105&to=20260119",CA135087S216,CANADA 24/34,Canada,"Canada, Government of...","30,000,000,000",CAD,98.67,7/12/2024,3.250%,1000,,regular interest,,12/1/2034,6/1/2026,,2.0,12/1/2024,11/30/2034,No,2026-01-06,99.17
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202434-bond-2034-ca135087s216?miRedirects=1,"1,136888775,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,136888775,1330,184&from=20260105&to=20260119",CA135087S216,CANADA 24/34,Canada,"Canada, Government of...","30,000,000,000",CAD,98.67,7/12/2024,3.250%,1000,,regular interest,,12/1/2034,6/1/2026,,2.0,12/1/2024,11/30/2034,No,2026-01-07,99.54
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202434-bond-2034-ca135087s216?miRedirects=1,"1,136888775,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,136888775,1330,184&from=20260105&to=20260119",CA135087S216,CANADA 24/34,Canada,"Canada, Government of...","30,000,000,000",CAD,98.67,7/12/2024,3.250%,1000,,regular interest,,12/1/2034,6/1/2026,,2.0,12/1/2024,11/30/2034,No,2026-01-08,99.37
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202434-bond-2034-ca135087s216?miRedirects=1,"1,136888775,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,136888775,1330,184&from=20260105&to=20260119",CA135087S216,CANADA 24/34,Canada,"Canada, Government of...","30,000,000,000",CAD,98.67,7/12/2024,3.250%,1000,,regular interest,,12/1/2034,6/1/2026,,2.0,12/1/2024,11/30/2034,No,2026-01-09,99.504
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202434-bond-2034-ca135087s216?miRedirects=1,"1,136888775,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,136888775,1330,184&from=20260105&to=20260119",CA135087S216,CANADA 24/34,Canada,"Canada, Government of...","30,000,000,000",CAD,98.67,7/12/2024,3.250%,1000,,regular interest,,12/1/2034,6/1/2026,,2.0,12/1/2024,11/30/2034,No,2026-01-12,99.5
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202434-bond-2034-ca135087s216?miRedirects=1,"1,136888775,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,136888775,1330,184&from=20260105&to=20260119",CA135087S216,CANADA 24/34,Canada,"Canada, Government of...","30,000,000,000",CAD,98.67,7/12/2024,3.250%,1000,,regular interest,,12/1/2034,6/1/2026,,2.0,12/1/2024,11/30/2034,No,2026-01-13,99.4
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202434-bond-2034-ca135087s216?miRedirects=1,"1,136888775,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,136888775,1330,184&from=20260105&to=20260119",CA135087S216,CANADA 24/34,Canada,"Canada, Government of...","30,000,000,000",CAD,98.67,7/12/2024,3.250%,1000,,regular interest,,12/1/2034,6/1/2026,,2.0,12/1/2024,11/30/2034,No,2026-01-14,99.664
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202434-bond-2034-ca135087s216?miRedirects=1,"1,136888775,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,136888775,1330,184&from=20260105&to=20260119",CA135087S216,CANADA 24/34,Canada,"Canada, Government of...","30,000,000,000",CAD,98.67,7/12/2024,3.250%,1000,,regular interest,,12/1/2034,6/1/2026,,2.0,12/1/2024,11/30/2034,No,2026-01-15,99.744
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202434-bond-2034-ca135087s216?miRedirects=1,"1,136888775,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,136888775,1330,184&from=20260105&to=20260119",CA135087S216,CANADA 24/34,Canada,"Canada, Government of...","30,000,000,000",CAD,98.67,7/12/2024,3.250%,1000,,regular interest,,12/1/2034,6/1/2026,,2.0,12/1/2024,11/30/2034,No,2026-01-16,99.78
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202434-bond-2034-ca135087s216?miRedirects=1,"1,136888775,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,136888775,1330,184&from=20260105&to=20260119",CA135087S216,CANADA 24/34,Canada,"Canada, Government of...","30,000,000,000",CAD,98.67,7/12/2024,3.250%,1000,,regular interest,,12/1/2034,6/1/2026,,2.0,12/1/2024,11/30/2034,No,2026-01-19,99.59
