Term,bond_page_url,tkData,chart_json_url,ISIN,Name,Country,Issuer,Issue Volume,Currency,Issue Price,Issue Date,Coupon,Denomination,Quotation Type,Payment Type,Special Coupon Type,Maturity Date,Coupon Payment Date,Payment Frequency,No. of Payments per Year,Coupon Start Date,Final Coupon Date,Floater?,date,Close Price (% of par)
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202535-bond-2035-ca135087t537?miRedirects=1,"1,146822867,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,146822867,1330,184&from=20260105&to=20260119",CA135087T537,CANADA 25/35,Canada,"Canada, Government of...","42,000,000,000",CAD,,7/3/2025,3.250%,1000,,regular interest,,12/1/2035,6/1/2026,,2.0,12/1/2025,11/30/2035,No,2026-01-05,98.605
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202535-bond-2035-ca135087t537?miRedirects=1,"1,146822867,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,146822867,1330,184&from=20260105&to=20260119",CA135087T537,CANADA 25/35,Canada,"Canada, Government of...","42,000,000,000",CAD,,7/3/2025,3.250%,1000,,regular interest,,12/1/2035,6/1/2026,,2.0,12/1/2025,11/30/2035,No,2026-01-06,98.465
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202535-bond-2035-ca135087t537?miRedirects=1,"1,146822867,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,146822867,1330,184&from=20260105&to=20260119",CA135087T537,CANADA 25/35,Canada,"Canada, Government of...","42,000,000,000",CAD,,7/3/2025,3.250%,1000,,regular interest,,12/1/2035,6/1/2026,,2.0,12/1/2025,11/30/2035,No,2026-01-07,98.83
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202535-bond-2035-ca135087t537?miRedirects=1,"1,146822867,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,146822867,1330,184&from=20260105&to=20260119",CA135087T537,CANADA 25/35,Canada,"Canada, Government of...","42,000,000,000",CAD,,7/3/2025,3.250%,1000,,regular interest,,12/1/2035,6/1/2026,,2.0,12/1/2025,11/30/2035,No,2026-01-08,98.7
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202535-bond-2035-ca135087t537?miRedirects=1,"1,146822867,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,146822867,1330,184&from=20260105&to=20260119",CA135087T537,CANADA 25/35,Canada,"Canada, Government of...","42,000,000,000",CAD,,7/3/2025,3.250%,1000,,regular interest,,12/1/2035,6/1/2026,,2.0,12/1/2025,11/30/2035,No,2026-01-09,98.92
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202535-bond-2035-ca135087t537?miRedirects=1,"1,146822867,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,146822867,1330,184&from=20260105&to=20260119",CA135087T537,CANADA 25/35,Canada,"Canada, Government of...","42,000,000,000",CAD,,7/3/2025,3.250%,1000,,regular interest,,12/1/2035,6/1/2026,,2.0,12/1/2025,11/30/2035,No,2026-01-12,98.73
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202535-bond-2035-ca135087t537?miRedirects=1,"1,146822867,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,146822867,1330,184&from=20260105&to=20260119",CA135087T537,CANADA 25/35,Canada,"Canada, Government of...","42,000,000,000",CAD,,7/3/2025,3.250%,1000,,regular interest,,12/1/2035,6/1/2026,,2.0,12/1/2025,11/30/2035,No,2026-01-13,98.66
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202535-bond-2035-ca135087t537?miRedirects=1,"1,146822867,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,146822867,1330,184&from=20260105&to=20260119",CA135087T537,CANADA 25/35,Canada,"Canada, Government of...","42,000,000,000",CAD,,7/3/2025,3.250%,1000,,regular interest,,12/1/2035,6/1/2026,,2.0,12/1/2025,11/30/2035,No,2026-01-14,99.07
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202535-bond-2035-ca135087t537?miRedirects=1,"1,146822867,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,146822867,1330,184&from=20260105&to=20260119",CA135087T537,CANADA 25/35,Canada,"Canada, Government of...","42,000,000,000",CAD,,7/3/2025,3.250%,1000,,regular interest,,12/1/2035,6/1/2026,,2.0,12/1/2025,11/30/2035,No,2026-01-15,99.16
Long-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202535-bond-2035-ca135087t537?miRedirects=1,"1,146822867,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,146822867,1330,184&from=20260105&to=20260119",CA135087T537,CANADA 25/35,Canada,"Canada, Government of...","42,000,000,000",CAD,,7/3/2025,3.250%,1000,,regular interest,,12/1/2035,6/1/2026,,2.0,12/1/2025,11/30/2035,No,2026-01-16,99.015
