Term,bond_page_url,tkData,chart_json_url,ISIN,Name,Country,Issuer,Issue Volume,Currency,Issue Price,Issue Date,Coupon,Denomination,Quotation Type,Payment Type,Special Coupon Type,Maturity Date,Coupon Payment Date,Payment Frequency,No. of Payments per Year,Coupon Start Date,Final Coupon Date,Floater?,date,Close Price (% of par)
Long-term,https://markets.businessinsider.com/bonds/5_750-canada-government-of-bond-2029-ca135087wl43?miRedirects=1,"1,847359,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,847359,1330,184&from=20260105&to=20260119",CA135087WL43,CDA 2029            01.06,Canada,"Canada, Government of...","10,598,959,000",CAD,99.81,2/2/1998,5.750%,1000,,regular interest,,6/1/2029,6/1/2026,,2.0,6/1/1998,5/31/2029,No,2026-01-05,109.47
Long-term,https://markets.businessinsider.com/bonds/5_750-canada-government-of-bond-2029-ca135087wl43?miRedirects=1,"1,847359,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,847359,1330,184&from=20260105&to=20260119",CA135087WL43,CDA 2029            01.06,Canada,"Canada, Government of...","10,598,959,000",CAD,99.81,2/2/1998,5.750%,1000,,regular interest,,6/1/2029,6/1/2026,,2.0,6/1/1998,5/31/2029,No,2026-01-06,109.58
Long-term,https://markets.businessinsider.com/bonds/5_750-canada-government-of-bond-2029-ca135087wl43?miRedirects=1,"1,847359,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,847359,1330,184&from=20260105&to=20260119",CA135087WL43,CDA 2029            01.06,Canada,"Canada, Government of...","10,598,959,000",CAD,99.81,2/2/1998,5.750%,1000,,regular interest,,6/1/2029,6/1/2026,,2.0,6/1/1998,5/31/2029,No,2026-01-07,109.61
Long-term,https://markets.businessinsider.com/bonds/5_750-canada-government-of-bond-2029-ca135087wl43?miRedirects=1,"1,847359,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,847359,1330,184&from=20260105&to=20260119",CA135087WL43,CDA 2029            01.06,Canada,"Canada, Government of...","10,598,959,000",CAD,99.81,2/2/1998,5.750%,1000,,regular interest,,6/1/2029,6/1/2026,,2.0,6/1/1998,5/31/2029,No,2026-01-08,109.58
Long-term,https://markets.businessinsider.com/bonds/5_750-canada-government-of-bond-2029-ca135087wl43?miRedirects=1,"1,847359,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,847359,1330,184&from=20260105&to=20260119",CA135087WL43,CDA 2029            01.06,Canada,"Canada, Government of...","10,598,959,000",CAD,99.81,2/2/1998,5.750%,1000,,regular interest,,6/1/2029,6/1/2026,,2.0,6/1/1998,5/31/2029,No,2026-01-09,109.54
Long-term,https://markets.businessinsider.com/bonds/5_750-canada-government-of-bond-2029-ca135087wl43?miRedirects=1,"1,847359,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,847359,1330,184&from=20260105&to=20260119",CA135087WL43,CDA 2029            01.06,Canada,"Canada, Government of...","10,598,959,000",CAD,99.81,2/2/1998,5.750%,1000,,regular interest,,6/1/2029,6/1/2026,,2.0,6/1/1998,5/31/2029,No,2026-01-12,109.54
Long-term,https://markets.businessinsider.com/bonds/5_750-canada-government-of-bond-2029-ca135087wl43?miRedirects=1,"1,847359,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,847359,1330,184&from=20260105&to=20260119",CA135087WL43,CDA 2029            01.06,Canada,"Canada, Government of...","10,598,959,000",CAD,99.81,2/2/1998,5.750%,1000,,regular interest,,6/1/2029,6/1/2026,,2.0,6/1/1998,5/31/2029,No,2026-01-13,109.48
Long-term,https://markets.businessinsider.com/bonds/5_750-canada-government-of-bond-2029-ca135087wl43?miRedirects=1,"1,847359,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,847359,1330,184&from=20260105&to=20260119",CA135087WL43,CDA 2029            01.06,Canada,"Canada, Government of...","10,598,959,000",CAD,99.81,2/2/1998,5.750%,1000,,regular interest,,6/1/2029,6/1/2026,,2.0,6/1/1998,5/31/2029,No,2026-01-14,109.51
Long-term,https://markets.businessinsider.com/bonds/5_750-canada-government-of-bond-2029-ca135087wl43?miRedirects=1,"1,847359,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,847359,1330,184&from=20260105&to=20260119",CA135087WL43,CDA 2029            01.06,Canada,"Canada, Government of...","10,598,959,000",CAD,99.81,2/2/1998,5.750%,1000,,regular interest,,6/1/2029,6/1/2026,,2.0,6/1/1998,5/31/2029,No,2026-01-15,109.59
Long-term,https://markets.businessinsider.com/bonds/5_750-canada-government-of-bond-2029-ca135087wl43?miRedirects=1,"1,847359,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,847359,1330,184&from=20260105&to=20260119",CA135087WL43,CDA 2029            01.06,Canada,"Canada, Government of...","10,598,959,000",CAD,99.81,2/2/1998,5.750%,1000,,regular interest,,6/1/2029,6/1/2026,,2.0,6/1/1998,5/31/2029,No,2026-01-16,109.59
