Term,bond_page_url,tkData,chart_json_url,ISIN,Name,Country,Issuer,Issue Volume,Currency,Issue Price,Issue Date,Coupon,Denomination,Quotation Type,Payment Type,Special Coupon Type,Maturity Date,Coupon Payment Date,Payment Frequency,No. of Payments per Year,Coupon Start Date,Final Coupon Date,Floater?,date,Close Price (% of par)
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_201526-bond-2026-ca135087e679?miRedirects=1,"1,28975906,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,28975906,1330,184&from=20260105&to=20260119",CA135087E679,CDA 2026,Canada,"Canada, Government of...","13,472,000,000",CAD,97.86,7/21/2015,1.500%,1000,,regular interest,,6/1/2026,6/1/2026,,2.0,12/1/2015,5/31/2026,No,2026-01-05,99.68
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_201526-bond-2026-ca135087e679?miRedirects=1,"1,28975906,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,28975906,1330,184&from=20260105&to=20260119",CA135087E679,CDA 2026,Canada,"Canada, Government of...","13,472,000,000",CAD,97.86,7/21/2015,1.500%,1000,,regular interest,,6/1/2026,6/1/2026,,2.0,12/1/2015,5/31/2026,No,2026-01-06,99.69
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_201526-bond-2026-ca135087e679?miRedirects=1,"1,28975906,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,28975906,1330,184&from=20260105&to=20260119",CA135087E679,CDA 2026,Canada,"Canada, Government of...","13,472,000,000",CAD,97.86,7/21/2015,1.500%,1000,,regular interest,,6/1/2026,6/1/2026,,2.0,12/1/2015,5/31/2026,No,2026-01-07,99.69
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_201526-bond-2026-ca135087e679?miRedirects=1,"1,28975906,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,28975906,1330,184&from=20260105&to=20260119",CA135087E679,CDA 2026,Canada,"Canada, Government of...","13,472,000,000",CAD,97.86,7/21/2015,1.500%,1000,,regular interest,,6/1/2026,6/1/2026,,2.0,12/1/2015,5/31/2026,No,2026-01-08,99.7
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_201526-bond-2026-ca135087e679?miRedirects=1,"1,28975906,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,28975906,1330,184&from=20260105&to=20260119",CA135087E679,CDA 2026,Canada,"Canada, Government of...","13,472,000,000",CAD,97.86,7/21/2015,1.500%,1000,,regular interest,,6/1/2026,6/1/2026,,2.0,12/1/2015,5/31/2026,No,2026-01-09,99.7
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_201526-bond-2026-ca135087e679?miRedirects=1,"1,28975906,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,28975906,1330,184&from=20260105&to=20260119",CA135087E679,CDA 2026,Canada,"Canada, Government of...","13,472,000,000",CAD,97.86,7/21/2015,1.500%,1000,,regular interest,,6/1/2026,6/1/2026,,2.0,12/1/2015,5/31/2026,No,2026-01-12,99.71
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_201526-bond-2026-ca135087e679?miRedirects=1,"1,28975906,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,28975906,1330,184&from=20260105&to=20260119",CA135087E679,CDA 2026,Canada,"Canada, Government of...","13,472,000,000",CAD,97.86,7/21/2015,1.500%,1000,,regular interest,,6/1/2026,6/1/2026,,2.0,12/1/2015,5/31/2026,No,2026-01-13,99.71
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_201526-bond-2026-ca135087e679?miRedirects=1,"1,28975906,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,28975906,1330,184&from=20260105&to=20260119",CA135087E679,CDA 2026,Canada,"Canada, Government of...","13,472,000,000",CAD,97.86,7/21/2015,1.500%,1000,,regular interest,,6/1/2026,6/1/2026,,2.0,12/1/2015,5/31/2026,No,2026-01-14,99.71
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_201526-bond-2026-ca135087e679?miRedirects=1,"1,28975906,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,28975906,1330,184&from=20260105&to=20260119",CA135087E679,CDA 2026,Canada,"Canada, Government of...","13,472,000,000",CAD,97.86,7/21/2015,1.500%,1000,,regular interest,,6/1/2026,6/1/2026,,2.0,12/1/2015,5/31/2026,No,2026-01-15,99.765
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_201526-bond-2026-ca135087e679?miRedirects=1,"1,28975906,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,28975906,1330,184&from=20260105&to=20260119",CA135087E679,CDA 2026,Canada,"Canada, Government of...","13,472,000,000",CAD,97.86,7/21/2015,1.500%,1000,,regular interest,,6/1/2026,6/1/2026,,2.0,12/1/2015,5/31/2026,No,2026-01-16,99.73
