Term,bond_page_url,tkData,chart_json_url,ISIN,Name,Country,Issuer,Issue Volume,Currency,Issue Price,Issue Date,Coupon,Denomination,Quotation Type,Payment Type,Special Coupon Type,Maturity Date,Coupon Payment Date,Payment Frequency,No. of Payments per Year,Coupon Start Date,Final Coupon Date,Floater?,date,Close Price (% of par)
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_201627-bond-2027-ca135087f825?miRedirects=1,"1,33461441,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,33461441,1330,184&from=20260105&to=20260119",CA135087F825,CDA 2027,Canada,"Canada, Government of...","15,490,000,000",CAD,97.99,8/3/2016,1.000%,1000,,regular interest,,6/1/2027,6/1/2026,,2.0,12/1/2016,5/31/2027,No,2026-01-05,98.0
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_201627-bond-2027-ca135087f825?miRedirects=1,"1,33461441,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,33461441,1330,184&from=20260105&to=20260119",CA135087F825,CDA 2027,Canada,"Canada, Government of...","15,490,000,000",CAD,97.99,8/3/2016,1.000%,1000,,regular interest,,6/1/2027,6/1/2026,,2.0,12/1/2016,5/31/2027,No,2026-01-06,98.0
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_201627-bond-2027-ca135087f825?miRedirects=1,"1,33461441,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,33461441,1330,184&from=20260105&to=20260119",CA135087F825,CDA 2027,Canada,"Canada, Government of...","15,490,000,000",CAD,97.99,8/3/2016,1.000%,1000,,regular interest,,6/1/2027,6/1/2026,,2.0,12/1/2016,5/31/2027,No,2026-01-07,98.0
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_201627-bond-2027-ca135087f825?miRedirects=1,"1,33461441,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,33461441,1330,184&from=20260105&to=20260119",CA135087F825,CDA 2027,Canada,"Canada, Government of...","15,490,000,000",CAD,97.99,8/3/2016,1.000%,1000,,regular interest,,6/1/2027,6/1/2026,,2.0,12/1/2016,5/31/2027,No,2026-01-08,97.96
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_201627-bond-2027-ca135087f825?miRedirects=1,"1,33461441,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,33461441,1330,184&from=20260105&to=20260119",CA135087F825,CDA 2027,Canada,"Canada, Government of...","15,490,000,000",CAD,97.99,8/3/2016,1.000%,1000,,regular interest,,6/1/2027,6/1/2026,,2.0,12/1/2016,5/31/2027,No,2026-01-09,97.96
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_201627-bond-2027-ca135087f825?miRedirects=1,"1,33461441,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,33461441,1330,184&from=20260105&to=20260119",CA135087F825,CDA 2027,Canada,"Canada, Government of...","15,490,000,000",CAD,97.99,8/3/2016,1.000%,1000,,regular interest,,6/1/2027,6/1/2026,,2.0,12/1/2016,5/31/2027,No,2026-01-12,97.98
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_201627-bond-2027-ca135087f825?miRedirects=1,"1,33461441,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,33461441,1330,184&from=20260105&to=20260119",CA135087F825,CDA 2027,Canada,"Canada, Government of...","15,490,000,000",CAD,97.99,8/3/2016,1.000%,1000,,regular interest,,6/1/2027,6/1/2026,,2.0,12/1/2016,5/31/2027,No,2026-01-13,97.97
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_201627-bond-2027-ca135087f825?miRedirects=1,"1,33461441,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,33461441,1330,184&from=20260105&to=20260119",CA135087F825,CDA 2027,Canada,"Canada, Government of...","15,490,000,000",CAD,97.99,8/3/2016,1.000%,1000,,regular interest,,6/1/2027,6/1/2026,,2.0,12/1/2016,5/31/2027,No,2026-01-14,97.99
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_201627-bond-2027-ca135087f825?miRedirects=1,"1,33461441,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,33461441,1330,184&from=20260105&to=20260119",CA135087F825,CDA 2027,Canada,"Canada, Government of...","15,490,000,000",CAD,97.99,8/3/2016,1.000%,1000,,regular interest,,6/1/2027,6/1/2026,,2.0,12/1/2016,5/31/2027,No,2026-01-15,98.02
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_201627-bond-2027-ca135087f825?miRedirects=1,"1,33461441,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,33461441,1330,184&from=20260105&to=20260119",CA135087F825,CDA 2027,Canada,"Canada, Government of...","15,490,000,000",CAD,97.99,8/3/2016,1.000%,1000,,regular interest,,6/1/2027,6/1/2026,,2.0,12/1/2016,5/31/2027,No,2026-01-16,98.03
