Term,bond_page_url,tkData,chart_json_url,ISIN,Name,Country,Issuer,Issue Volume,Currency,Issue Price,Issue Date,Coupon,Denomination,Quotation Type,Payment Type,Special Coupon Type,Maturity Date,Coupon Payment Date,Payment Frequency,No. of Payments per Year,Coupon Start Date,Final Coupon Date,Floater?,date,Close Price (% of par)
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_201728-bond-2028-ca135087h235?miRedirects=1,"1,37720230,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,37720230,1330,184&from=20260105&to=20260119",CA135087H235,CDA 2028,Canada,"Canada, Government of...","13,500,000,000",CAD,99.27,8/1/2017,2.000%,1000,,regular interest,,6/1/2028,6/1/2026,,2.0,12/1/2017,5/31/2028,No,2026-01-05,98.55
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_201728-bond-2028-ca135087h235?miRedirects=1,"1,37720230,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,37720230,1330,184&from=20260105&to=20260119",CA135087H235,CDA 2028,Canada,"Canada, Government of...","13,500,000,000",CAD,99.27,8/1/2017,2.000%,1000,,regular interest,,6/1/2028,6/1/2026,,2.0,12/1/2017,5/31/2028,No,2026-01-06,98.53
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_201728-bond-2028-ca135087h235?miRedirects=1,"1,37720230,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,37720230,1330,184&from=20260105&to=20260119",CA135087H235,CDA 2028,Canada,"Canada, Government of...","13,500,000,000",CAD,99.27,8/1/2017,2.000%,1000,,regular interest,,6/1/2028,6/1/2026,,2.0,12/1/2017,5/31/2028,No,2026-01-07,98.59
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_201728-bond-2028-ca135087h235?miRedirects=1,"1,37720230,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,37720230,1330,184&from=20260105&to=20260119",CA135087H235,CDA 2028,Canada,"Canada, Government of...","13,500,000,000",CAD,99.27,8/1/2017,2.000%,1000,,regular interest,,6/1/2028,6/1/2026,,2.0,12/1/2017,5/31/2028,No,2026-01-08,98.605
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_201728-bond-2028-ca135087h235?miRedirects=1,"1,37720230,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,37720230,1330,184&from=20260105&to=20260119",CA135087H235,CDA 2028,Canada,"Canada, Government of...","13,500,000,000",CAD,99.27,8/1/2017,2.000%,1000,,regular interest,,6/1/2028,6/1/2026,,2.0,12/1/2017,5/31/2028,No,2026-01-09,98.6
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_201728-bond-2028-ca135087h235?miRedirects=1,"1,37720230,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,37720230,1330,184&from=20260105&to=20260119",CA135087H235,CDA 2028,Canada,"Canada, Government of...","13,500,000,000",CAD,99.27,8/1/2017,2.000%,1000,,regular interest,,6/1/2028,6/1/2026,,2.0,12/1/2017,5/31/2028,No,2026-01-12,98.61
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_201728-bond-2028-ca135087h235?miRedirects=1,"1,37720230,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,37720230,1330,184&from=20260105&to=20260119",CA135087H235,CDA 2028,Canada,"Canada, Government of...","13,500,000,000",CAD,99.27,8/1/2017,2.000%,1000,,regular interest,,6/1/2028,6/1/2026,,2.0,12/1/2017,5/31/2028,No,2026-01-13,98.61
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_201728-bond-2028-ca135087h235?miRedirects=1,"1,37720230,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,37720230,1330,184&from=20260105&to=20260119",CA135087H235,CDA 2028,Canada,"Canada, Government of...","13,500,000,000",CAD,99.27,8/1/2017,2.000%,1000,,regular interest,,6/1/2028,6/1/2026,,2.0,12/1/2017,5/31/2028,No,2026-01-14,98.63
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_201728-bond-2028-ca135087h235?miRedirects=1,"1,37720230,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,37720230,1330,184&from=20260105&to=20260119",CA135087H235,CDA 2028,Canada,"Canada, Government of...","13,500,000,000",CAD,99.27,8/1/2017,2.000%,1000,,regular interest,,6/1/2028,6/1/2026,,2.0,12/1/2017,5/31/2028,No,2026-01-15,98.67
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_201728-bond-2028-ca135087h235?miRedirects=1,"1,37720230,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,37720230,1330,184&from=20260105&to=20260119",CA135087H235,CDA 2028,Canada,"Canada, Government of...","13,500,000,000",CAD,99.27,8/1/2017,2.000%,1000,,regular interest,,6/1/2028,6/1/2026,,2.0,12/1/2017,5/31/2028,No,2026-01-16,98.67
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_201728-bond-2028-ca135087h235?miRedirects=1,"1,37720230,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,37720230,1330,184&from=20260105&to=20260119",CA135087H235,CDA 2028,Canada,"Canada, Government of...","13,500,000,000",CAD,99.27,8/1/2017,2.000%,1000,,regular interest,,6/1/2028,6/1/2026,,2.0,12/1/2017,5/31/2028,No,2026-01-19,98.66
