Term,bond_page_url,tkData,chart_json_url,ISIN,Name,Country,Issuer,Issue Volume,Currency,Issue Price,Issue Date,Coupon,Denomination,Quotation Type,Payment Type,Special Coupon Type,Maturity Date,Coupon Payment Date,Payment Frequency,No. of Payments per Year,Coupon Start Date,Final Coupon Date,Floater?,date,Close Price (% of par)
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202126-bond-2026-ca135087l930?miRedirects=1,"1,111141014,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,111141014,1330,184&from=20260105&to=20260119",CA135087L930,CANADA 21/26,Canada,"Canada, Government of...","23,000,000,000",CAD,99.66,4/16/2021,1.000%,1000,,regular interest,,9/1/2026,3/1/2026,,2.0,9/1/2021,8/31/2026,No,2026-01-05,99.145
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202126-bond-2026-ca135087l930?miRedirects=1,"1,111141014,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,111141014,1330,184&from=20260105&to=20260119",CA135087L930,CANADA 21/26,Canada,"Canada, Government of...","23,000,000,000",CAD,99.66,4/16/2021,1.000%,1000,,regular interest,,9/1/2026,3/1/2026,,2.0,9/1/2021,8/31/2026,No,2026-01-06,99.145
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202126-bond-2026-ca135087l930?miRedirects=1,"1,111141014,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,111141014,1330,184&from=20260105&to=20260119",CA135087L930,CANADA 21/26,Canada,"Canada, Government of...","23,000,000,000",CAD,99.66,4/16/2021,1.000%,1000,,regular interest,,9/1/2026,3/1/2026,,2.0,9/1/2021,8/31/2026,No,2026-01-07,99.165
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202126-bond-2026-ca135087l930?miRedirects=1,"1,111141014,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,111141014,1330,184&from=20260105&to=20260119",CA135087L930,CANADA 21/26,Canada,"Canada, Government of...","23,000,000,000",CAD,99.66,4/16/2021,1.000%,1000,,regular interest,,9/1/2026,3/1/2026,,2.0,9/1/2021,8/31/2026,No,2026-01-08,99.16
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202126-bond-2026-ca135087l930?miRedirects=1,"1,111141014,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,111141014,1330,184&from=20260105&to=20260119",CA135087L930,CANADA 21/26,Canada,"Canada, Government of...","23,000,000,000",CAD,99.66,4/16/2021,1.000%,1000,,regular interest,,9/1/2026,3/1/2026,,2.0,9/1/2021,8/31/2026,No,2026-01-09,99.19
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202126-bond-2026-ca135087l930?miRedirects=1,"1,111141014,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,111141014,1330,184&from=20260105&to=20260119",CA135087L930,CANADA 21/26,Canada,"Canada, Government of...","23,000,000,000",CAD,99.66,4/16/2021,1.000%,1000,,regular interest,,9/1/2026,3/1/2026,,2.0,9/1/2021,8/31/2026,No,2026-01-12,99.18
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202126-bond-2026-ca135087l930?miRedirects=1,"1,111141014,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,111141014,1330,184&from=20260105&to=20260119",CA135087L930,CANADA 21/26,Canada,"Canada, Government of...","23,000,000,000",CAD,99.66,4/16/2021,1.000%,1000,,regular interest,,9/1/2026,3/1/2026,,2.0,9/1/2021,8/31/2026,No,2026-01-13,99.19
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202126-bond-2026-ca135087l930?miRedirects=1,"1,111141014,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,111141014,1330,184&from=20260105&to=20260119",CA135087L930,CANADA 21/26,Canada,"Canada, Government of...","23,000,000,000",CAD,99.66,4/16/2021,1.000%,1000,,regular interest,,9/1/2026,3/1/2026,,2.0,9/1/2021,8/31/2026,No,2026-01-14,99.2
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202126-bond-2026-ca135087l930?miRedirects=1,"1,111141014,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,111141014,1330,184&from=20260105&to=20260119",CA135087L930,CANADA 21/26,Canada,"Canada, Government of...","23,000,000,000",CAD,99.66,4/16/2021,1.000%,1000,,regular interest,,9/1/2026,3/1/2026,,2.0,9/1/2021,8/31/2026,No,2026-01-15,99.21
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202126-bond-2026-ca135087l930?miRedirects=1,"1,111141014,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,111141014,1330,184&from=20260105&to=20260119",CA135087L930,CANADA 21/26,Canada,"Canada, Government of...","23,000,000,000",CAD,99.66,4/16/2021,1.000%,1000,,regular interest,,9/1/2026,3/1/2026,,2.0,9/1/2021,8/31/2026,No,2026-01-16,99.22
