Term,bond_page_url,tkData,chart_json_url,ISIN,Name,Country,Issuer,Issue Volume,Currency,Issue Price,Issue Date,Coupon,Denomination,Quotation Type,Payment Type,Special Coupon Type,Maturity Date,Coupon Payment Date,Payment Frequency,No. of Payments per Year,Coupon Start Date,Final Coupon Date,Floater?,date,Close Price (% of par)
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202127-bond-2027-ca135087m847?miRedirects=1,"1,114329463,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,114329463,1330,184&from=20260105&to=20260119",CA135087M847,CANADA 21/27,Canada,"Canada, Government of...","13,000,000,000",CAD,99.66,10/15/2021,1.250%,1000,,regular interest,,3/1/2027,3/1/2026,,2.0,3/1/2022,2/28/2027,No,2026-01-05,98.6
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202127-bond-2027-ca135087m847?miRedirects=1,"1,114329463,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,114329463,1330,184&from=20260105&to=20260119",CA135087M847,CANADA 21/27,Canada,"Canada, Government of...","13,000,000,000",CAD,99.66,10/15/2021,1.250%,1000,,regular interest,,3/1/2027,3/1/2026,,2.0,3/1/2022,2/28/2027,No,2026-01-06,98.63
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202127-bond-2027-ca135087m847?miRedirects=1,"1,114329463,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,114329463,1330,184&from=20260105&to=20260119",CA135087M847,CANADA 21/27,Canada,"Canada, Government of...","13,000,000,000",CAD,99.66,10/15/2021,1.250%,1000,,regular interest,,3/1/2027,3/1/2026,,2.0,3/1/2022,2/28/2027,No,2026-01-07,98.66
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202127-bond-2027-ca135087m847?miRedirects=1,"1,114329463,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,114329463,1330,184&from=20260105&to=20260119",CA135087M847,CANADA 21/27,Canada,"Canada, Government of...","13,000,000,000",CAD,99.66,10/15/2021,1.250%,1000,,regular interest,,3/1/2027,3/1/2026,,2.0,3/1/2022,2/28/2027,No,2026-01-08,98.67
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202127-bond-2027-ca135087m847?miRedirects=1,"1,114329463,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,114329463,1330,184&from=20260105&to=20260119",CA135087M847,CANADA 21/27,Canada,"Canada, Government of...","13,000,000,000",CAD,99.66,10/15/2021,1.250%,1000,,regular interest,,3/1/2027,3/1/2026,,2.0,3/1/2022,2/28/2027,No,2026-01-09,98.67
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202127-bond-2027-ca135087m847?miRedirects=1,"1,114329463,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,114329463,1330,184&from=20260105&to=20260119",CA135087M847,CANADA 21/27,Canada,"Canada, Government of...","13,000,000,000",CAD,99.66,10/15/2021,1.250%,1000,,regular interest,,3/1/2027,3/1/2026,,2.0,3/1/2022,2/28/2027,No,2026-01-12,98.67
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202127-bond-2027-ca135087m847?miRedirects=1,"1,114329463,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,114329463,1330,184&from=20260105&to=20260119",CA135087M847,CANADA 21/27,Canada,"Canada, Government of...","13,000,000,000",CAD,99.66,10/15/2021,1.250%,1000,,regular interest,,3/1/2027,3/1/2026,,2.0,3/1/2022,2/28/2027,No,2026-01-13,98.68
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202127-bond-2027-ca135087m847?miRedirects=1,"1,114329463,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,114329463,1330,184&from=20260105&to=20260119",CA135087M847,CANADA 21/27,Canada,"Canada, Government of...","13,000,000,000",CAD,99.66,10/15/2021,1.250%,1000,,regular interest,,3/1/2027,3/1/2026,,2.0,3/1/2022,2/28/2027,No,2026-01-14,98.67
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202127-bond-2027-ca135087m847?miRedirects=1,"1,114329463,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,114329463,1330,184&from=20260105&to=20260119",CA135087M847,CANADA 21/27,Canada,"Canada, Government of...","13,000,000,000",CAD,99.66,10/15/2021,1.250%,1000,,regular interest,,3/1/2027,3/1/2026,,2.0,3/1/2022,2/28/2027,No,2026-01-15,98.73
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202127-bond-2027-ca135087m847?miRedirects=1,"1,114329463,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,114329463,1330,184&from=20260105&to=20260119",CA135087M847,CANADA 21/27,Canada,"Canada, Government of...","13,000,000,000",CAD,99.66,10/15/2021,1.250%,1000,,regular interest,,3/1/2027,3/1/2026,,2.0,3/1/2022,2/28/2027,No,2026-01-16,98.72
