Term,bond_page_url,tkData,chart_json_url,ISIN,Name,Country,Issuer,Issue Volume,Currency,Issue Price,Issue Date,Coupon,Denomination,Quotation Type,Payment Type,Special Coupon Type,Maturity Date,Coupon Payment Date,Payment Frequency,No. of Payments per Year,Coupon Start Date,Final Coupon Date,Floater?,date,Close Price (% of par)
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202227-bond-2027-ca135087n837?miRedirects=1,"1,119036843,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,119036843,1330,184&from=20260105&to=20260119",CA135087N837,CANADA 22/27,Canada,"Canada, Government of...","16,000,000,000",CAD,99.30,5/13/2022,2.750%,1000,,regular interest,,9/1/2027,3/1/2026,,2.0,9/1/2022,8/31/2027,No,2026-01-05,100.22
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202227-bond-2027-ca135087n837?miRedirects=1,"1,119036843,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,119036843,1330,184&from=20260105&to=20260119",CA135087N837,CANADA 22/27,Canada,"Canada, Government of...","16,000,000,000",CAD,99.30,5/13/2022,2.750%,1000,,regular interest,,9/1/2027,3/1/2026,,2.0,9/1/2022,8/31/2027,No,2026-01-06,100.3
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202227-bond-2027-ca135087n837?miRedirects=1,"1,119036843,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,119036843,1330,184&from=20260105&to=20260119",CA135087N837,CANADA 22/27,Canada,"Canada, Government of...","16,000,000,000",CAD,99.30,5/13/2022,2.750%,1000,,regular interest,,9/1/2027,3/1/2026,,2.0,9/1/2022,8/31/2027,No,2026-01-07,100.28
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202227-bond-2027-ca135087n837?miRedirects=1,"1,119036843,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,119036843,1330,184&from=20260105&to=20260119",CA135087N837,CANADA 22/27,Canada,"Canada, Government of...","16,000,000,000",CAD,99.30,5/13/2022,2.750%,1000,,regular interest,,9/1/2027,3/1/2026,,2.0,9/1/2022,8/31/2027,No,2026-01-08,100.31
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202227-bond-2027-ca135087n837?miRedirects=1,"1,119036843,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,119036843,1330,184&from=20260105&to=20260119",CA135087N837,CANADA 22/27,Canada,"Canada, Government of...","16,000,000,000",CAD,99.30,5/13/2022,2.750%,1000,,regular interest,,9/1/2027,3/1/2026,,2.0,9/1/2022,8/31/2027,No,2026-01-09,100.3
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202227-bond-2027-ca135087n837?miRedirects=1,"1,119036843,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,119036843,1330,184&from=20260105&to=20260119",CA135087N837,CANADA 22/27,Canada,"Canada, Government of...","16,000,000,000",CAD,99.30,5/13/2022,2.750%,1000,,regular interest,,9/1/2027,3/1/2026,,2.0,9/1/2022,8/31/2027,No,2026-01-12,100.32
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202227-bond-2027-ca135087n837?miRedirects=1,"1,119036843,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,119036843,1330,184&from=20260105&to=20260119",CA135087N837,CANADA 22/27,Canada,"Canada, Government of...","16,000,000,000",CAD,99.30,5/13/2022,2.750%,1000,,regular interest,,9/1/2027,3/1/2026,,2.0,9/1/2022,8/31/2027,No,2026-01-13,100.3
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202227-bond-2027-ca135087n837?miRedirects=1,"1,119036843,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,119036843,1330,184&from=20260105&to=20260119",CA135087N837,CANADA 22/27,Canada,"Canada, Government of...","16,000,000,000",CAD,99.30,5/13/2022,2.750%,1000,,regular interest,,9/1/2027,3/1/2026,,2.0,9/1/2022,8/31/2027,No,2026-01-14,100.31
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202227-bond-2027-ca135087n837?miRedirects=1,"1,119036843,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,119036843,1330,184&from=20260105&to=20260119",CA135087N837,CANADA 22/27,Canada,"Canada, Government of...","16,000,000,000",CAD,99.30,5/13/2022,2.750%,1000,,regular interest,,9/1/2027,3/1/2026,,2.0,9/1/2022,8/31/2027,No,2026-01-15,100.35
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202227-bond-2027-ca135087n837?miRedirects=1,"1,119036843,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,119036843,1330,184&from=20260105&to=20260119",CA135087N837,CANADA 22/27,Canada,"Canada, Government of...","16,000,000,000",CAD,99.30,5/13/2022,2.750%,1000,,regular interest,,9/1/2027,3/1/2026,,2.0,9/1/2022,8/31/2027,No,2026-01-16,100.37
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202227-bond-2027-ca135087n837?miRedirects=1,"1,119036843,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,119036843,1330,184&from=20260105&to=20260119",CA135087N837,CANADA 22/27,Canada,"Canada, Government of...","16,000,000,000",CAD,99.30,5/13/2022,2.750%,1000,,regular interest,,9/1/2027,3/1/2026,,2.0,9/1/2022,8/31/2027,No,2026-01-19,100.33
