Term,bond_page_url,tkData,chart_json_url,ISIN,Name,Country,Issuer,Issue Volume,Currency,Issue Price,Issue Date,Coupon,Denomination,Quotation Type,Payment Type,Special Coupon Type,Maturity Date,Coupon Payment Date,Payment Frequency,No. of Payments per Year,Coupon Start Date,Final Coupon Date,Floater?,date,Close Price (% of par)
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202326-bond-2026-ca135087r226?miRedirects=1,"1,130654501,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,130654501,1330,184&from=20260105&to=20260119",CA135087R226,CANADA 23/26,Canada,"Canada, Government of...","23,000,000,000",CAD,99.79,11/1/2023,4.500%,1000,,regular interest,,2/1/2026,2/1/2026,,2.0,2/1/2024,1/31/2026,No,2026-01-05,100.14
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202326-bond-2026-ca135087r226?miRedirects=1,"1,130654501,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,130654501,1330,184&from=20260105&to=20260119",CA135087R226,CANADA 23/26,Canada,"Canada, Government of...","23,000,000,000",CAD,99.79,11/1/2023,4.500%,1000,,regular interest,,2/1/2026,2/1/2026,,2.0,2/1/2024,1/31/2026,No,2026-01-06,100.13
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202326-bond-2026-ca135087r226?miRedirects=1,"1,130654501,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,130654501,1330,184&from=20260105&to=20260119",CA135087R226,CANADA 23/26,Canada,"Canada, Government of...","23,000,000,000",CAD,99.79,11/1/2023,4.500%,1000,,regular interest,,2/1/2026,2/1/2026,,2.0,2/1/2024,1/31/2026,No,2026-01-07,100.13
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202326-bond-2026-ca135087r226?miRedirects=1,"1,130654501,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,130654501,1330,184&from=20260105&to=20260119",CA135087R226,CANADA 23/26,Canada,"Canada, Government of...","23,000,000,000",CAD,99.79,11/1/2023,4.500%,1000,,regular interest,,2/1/2026,2/1/2026,,2.0,2/1/2024,1/31/2026,No,2026-01-08,100.12
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202326-bond-2026-ca135087r226?miRedirects=1,"1,130654501,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,130654501,1330,184&from=20260105&to=20260119",CA135087R226,CANADA 23/26,Canada,"Canada, Government of...","23,000,000,000",CAD,99.79,11/1/2023,4.500%,1000,,regular interest,,2/1/2026,2/1/2026,,2.0,2/1/2024,1/31/2026,No,2026-01-09,100.11
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202326-bond-2026-ca135087r226?miRedirects=1,"1,130654501,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,130654501,1330,184&from=20260105&to=20260119",CA135087R226,CANADA 23/26,Canada,"Canada, Government of...","23,000,000,000",CAD,99.79,11/1/2023,4.500%,1000,,regular interest,,2/1/2026,2/1/2026,,2.0,2/1/2024,1/31/2026,No,2026-01-12,100.1
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202326-bond-2026-ca135087r226?miRedirects=1,"1,130654501,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,130654501,1330,184&from=20260105&to=20260119",CA135087R226,CANADA 23/26,Canada,"Canada, Government of...","23,000,000,000",CAD,99.79,11/1/2023,4.500%,1000,,regular interest,,2/1/2026,2/1/2026,,2.0,2/1/2024,1/31/2026,No,2026-01-13,100.09
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202326-bond-2026-ca135087r226?miRedirects=1,"1,130654501,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,130654501,1330,184&from=20260105&to=20260119",CA135087R226,CANADA 23/26,Canada,"Canada, Government of...","23,000,000,000",CAD,99.79,11/1/2023,4.500%,1000,,regular interest,,2/1/2026,2/1/2026,,2.0,2/1/2024,1/31/2026,No,2026-01-14,100.08
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202326-bond-2026-ca135087r226?miRedirects=1,"1,130654501,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,130654501,1330,184&from=20260105&to=20260119",CA135087R226,CANADA 23/26,Canada,"Canada, Government of...","23,000,000,000",CAD,99.79,11/1/2023,4.500%,1000,,regular interest,,2/1/2026,2/1/2026,,2.0,2/1/2024,1/31/2026,No,2026-01-15,100.08
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202326-bond-2026-ca135087r226?miRedirects=1,"1,130654501,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,130654501,1330,184&from=20260105&to=20260119",CA135087R226,CANADA 23/26,Canada,"Canada, Government of...","23,000,000,000",CAD,99.79,11/1/2023,4.500%,1000,,regular interest,,2/1/2026,2/1/2026,,2.0,2/1/2024,1/31/2026,No,2026-01-16,100.07
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202326-bond-2026-ca135087r226?miRedirects=1,"1,130654501,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,130654501,1330,184&from=20260105&to=20260119",CA135087R226,CANADA 23/26,Canada,"Canada, Government of...","23,000,000,000",CAD,99.79,11/1/2023,4.500%,1000,,regular interest,,2/1/2026,2/1/2026,,2.0,2/1/2024,1/31/2026,No,2026-01-19,100.05
