Term,bond_page_url,tkData,chart_json_url,ISIN,Name,Country,Issuer,Issue Volume,Currency,Issue Price,Issue Date,Coupon,Denomination,Quotation Type,Payment Type,Special Coupon Type,Maturity Date,Coupon Payment Date,Payment Frequency,No. of Payments per Year,Coupon Start Date,Final Coupon Date,Floater?,date,Close Price (% of par)
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202426-bond-2026-ca135087s398?miRedirects=1,"1,137893857,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,137893857,1330,184&from=20260105&to=20260119",CA135087S398,CANADA 24/26,Canada,"Canada, Government of...","21,500,000,000",CAD,99.89,8/2/2024,3.250%,1000,,regular interest,,11/1/2026,5/1/2026,,2.0,11/1/2024,10/31/2026,No,2026-01-05,100.69
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202426-bond-2026-ca135087s398?miRedirects=1,"1,137893857,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,137893857,1330,184&from=20260105&to=20260119",CA135087S398,CANADA 24/26,Canada,"Canada, Government of...","21,500,000,000",CAD,99.89,8/2/2024,3.250%,1000,,regular interest,,11/1/2026,5/1/2026,,2.0,11/1/2024,10/31/2026,No,2026-01-06,100.69
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202426-bond-2026-ca135087s398?miRedirects=1,"1,137893857,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,137893857,1330,184&from=20260105&to=20260119",CA135087S398,CANADA 24/26,Canada,"Canada, Government of...","21,500,000,000",CAD,99.89,8/2/2024,3.250%,1000,,regular interest,,11/1/2026,5/1/2026,,2.0,11/1/2024,10/31/2026,No,2026-01-07,100.7
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202426-bond-2026-ca135087s398?miRedirects=1,"1,137893857,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,137893857,1330,184&from=20260105&to=20260119",CA135087S398,CANADA 24/26,Canada,"Canada, Government of...","21,500,000,000",CAD,99.89,8/2/2024,3.250%,1000,,regular interest,,11/1/2026,5/1/2026,,2.0,11/1/2024,10/31/2026,No,2026-01-08,100.69
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202426-bond-2026-ca135087s398?miRedirects=1,"1,137893857,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,137893857,1330,184&from=20260105&to=20260119",CA135087S398,CANADA 24/26,Canada,"Canada, Government of...","21,500,000,000",CAD,99.89,8/2/2024,3.250%,1000,,regular interest,,11/1/2026,5/1/2026,,2.0,11/1/2024,10/31/2026,No,2026-01-09,100.69
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202426-bond-2026-ca135087s398?miRedirects=1,"1,137893857,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,137893857,1330,184&from=20260105&to=20260119",CA135087S398,CANADA 24/26,Canada,"Canada, Government of...","21,500,000,000",CAD,99.89,8/2/2024,3.250%,1000,,regular interest,,11/1/2026,5/1/2026,,2.0,11/1/2024,10/31/2026,No,2026-01-12,100.69
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202426-bond-2026-ca135087s398?miRedirects=1,"1,137893857,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,137893857,1330,184&from=20260105&to=20260119",CA135087S398,CANADA 24/26,Canada,"Canada, Government of...","21,500,000,000",CAD,99.89,8/2/2024,3.250%,1000,,regular interest,,11/1/2026,5/1/2026,,2.0,11/1/2024,10/31/2026,No,2026-01-13,100.68
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202426-bond-2026-ca135087s398?miRedirects=1,"1,137893857,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,137893857,1330,184&from=20260105&to=20260119",CA135087S398,CANADA 24/26,Canada,"Canada, Government of...","21,500,000,000",CAD,99.89,8/2/2024,3.250%,1000,,regular interest,,11/1/2026,5/1/2026,,2.0,11/1/2024,10/31/2026,No,2026-01-14,100.7
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202426-bond-2026-ca135087s398?miRedirects=1,"1,137893857,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,137893857,1330,184&from=20260105&to=20260119",CA135087S398,CANADA 24/26,Canada,"Canada, Government of...","21,500,000,000",CAD,99.89,8/2/2024,3.250%,1000,,regular interest,,11/1/2026,5/1/2026,,2.0,11/1/2024,10/31/2026,No,2026-01-15,100.7
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202426-bond-2026-ca135087s398?miRedirects=1,"1,137893857,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,137893857,1330,184&from=20260105&to=20260119",CA135087S398,CANADA 24/26,Canada,"Canada, Government of...","21,500,000,000",CAD,99.89,8/2/2024,3.250%,1000,,regular interest,,11/1/2026,5/1/2026,,2.0,11/1/2024,10/31/2026,No,2026-01-16,100.7
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202426-bond-2026-ca135087s398?miRedirects=1,"1,137893857,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,137893857,1330,184&from=20260105&to=20260119",CA135087S398,CANADA 24/26,Canada,"Canada, Government of...","21,500,000,000",CAD,99.89,8/2/2024,3.250%,1000,,regular interest,,11/1/2026,5/1/2026,,2.0,11/1/2024,10/31/2026,No,2026-01-19,100.68
