Term,bond_page_url,tkData,chart_json_url,ISIN,Name,Country,Issuer,Issue Volume,Currency,Issue Price,Issue Date,Coupon,Denomination,Quotation Type,Payment Type,Special Coupon Type,Maturity Date,Coupon Payment Date,Payment Frequency,No. of Payments per Year,Coupon Start Date,Final Coupon Date,Floater?,date,Close Price (% of par)
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202527-bond-2027-ca135087t610?miRedirects=1,"1,148260836,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,148260836,1330,184&from=20260105&to=20260119",CA135087T610,CANADA 25/27,Canada,"Canada, Government of...","30,000,000,000",CAD,99.50,8/15/2025,2.500%,1000,,regular interest,,11/1/2027,5/1/2026,,2.0,11/1/2025,10/31/2027,No,2026-01-05,99.87
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202527-bond-2027-ca135087t610?miRedirects=1,"1,148260836,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,148260836,1330,184&from=20260105&to=20260119",CA135087T610,CANADA 25/27,Canada,"Canada, Government of...","30,000,000,000",CAD,99.50,8/15/2025,2.500%,1000,,regular interest,,11/1/2027,5/1/2026,,2.0,11/1/2025,10/31/2027,No,2026-01-06,99.84
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202527-bond-2027-ca135087t610?miRedirects=1,"1,148260836,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,148260836,1330,184&from=20260105&to=20260119",CA135087T610,CANADA 25/27,Canada,"Canada, Government of...","30,000,000,000",CAD,99.50,8/15/2025,2.500%,1000,,regular interest,,11/1/2027,5/1/2026,,2.0,11/1/2025,10/31/2027,No,2026-01-07,99.9
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202527-bond-2027-ca135087t610?miRedirects=1,"1,148260836,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,148260836,1330,184&from=20260105&to=20260119",CA135087T610,CANADA 25/27,Canada,"Canada, Government of...","30,000,000,000",CAD,99.50,8/15/2025,2.500%,1000,,regular interest,,11/1/2027,5/1/2026,,2.0,11/1/2025,10/31/2027,No,2026-01-08,99.88
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202527-bond-2027-ca135087t610?miRedirects=1,"1,148260836,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,148260836,1330,184&from=20260105&to=20260119",CA135087T610,CANADA 25/27,Canada,"Canada, Government of...","30,000,000,000",CAD,99.50,8/15/2025,2.500%,1000,,regular interest,,11/1/2027,5/1/2026,,2.0,11/1/2025,10/31/2027,No,2026-01-09,99.9
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202527-bond-2027-ca135087t610?miRedirects=1,"1,148260836,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,148260836,1330,184&from=20260105&to=20260119",CA135087T610,CANADA 25/27,Canada,"Canada, Government of...","30,000,000,000",CAD,99.50,8/15/2025,2.500%,1000,,regular interest,,11/1/2027,5/1/2026,,2.0,11/1/2025,10/31/2027,No,2026-01-12,99.89
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202527-bond-2027-ca135087t610?miRedirects=1,"1,148260836,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,148260836,1330,184&from=20260105&to=20260119",CA135087T610,CANADA 25/27,Canada,"Canada, Government of...","30,000,000,000",CAD,99.50,8/15/2025,2.500%,1000,,regular interest,,11/1/2027,5/1/2026,,2.0,11/1/2025,10/31/2027,No,2026-01-13,99.88
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202527-bond-2027-ca135087t610?miRedirects=1,"1,148260836,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,148260836,1330,184&from=20260105&to=20260119",CA135087T610,CANADA 25/27,Canada,"Canada, Government of...","30,000,000,000",CAD,99.50,8/15/2025,2.500%,1000,,regular interest,,11/1/2027,5/1/2026,,2.0,11/1/2025,10/31/2027,No,2026-01-14,99.935
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202527-bond-2027-ca135087t610?miRedirects=1,"1,148260836,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,148260836,1330,184&from=20260105&to=20260119",CA135087T610,CANADA 25/27,Canada,"Canada, Government of...","30,000,000,000",CAD,99.50,8/15/2025,2.500%,1000,,regular interest,,11/1/2027,5/1/2026,,2.0,11/1/2025,10/31/2027,No,2026-01-15,99.93
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202527-bond-2027-ca135087t610?miRedirects=1,"1,148260836,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,148260836,1330,184&from=20260105&to=20260119",CA135087T610,CANADA 25/27,Canada,"Canada, Government of...","30,000,000,000",CAD,99.50,8/15/2025,2.500%,1000,,regular interest,,11/1/2027,5/1/2026,,2.0,11/1/2025,10/31/2027,No,2026-01-16,99.935
Short-term,https://markets.businessinsider.com/bonds/canadacd-bonds_202527-bond-2027-ca135087t610?miRedirects=1,"1,148260836,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,148260836,1330,184&from=20260105&to=20260119",CA135087T610,CANADA 25/27,Canada,"Canada, Government of...","30,000,000,000",CAD,99.50,8/15/2025,2.500%,1000,,regular interest,,11/1/2027,5/1/2026,,2.0,11/1/2025,10/31/2027,No,2026-01-19,99.93
