Term,bond_page_url,tkData,chart_json_url,ISIN,Name,Country,Issuer,Issue Volume,Currency,Issue Price,Issue Date,Coupon,Denomination,Quotation Type,Payment Type,Special Coupon Type,Maturity Date,Coupon Payment Date,Payment Frequency,No. of Payments per Year,Coupon Start Date,Final Coupon Date,Floater?,date,Close Price (% of par)
Short-term,https://markets.businessinsider.com/bonds/8_000-canada-government-of-bond-2027-ca135087vw17?miRedirects=1,"1,490501,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,490501,1330,184&from=20260105&to=20260119",CA135087VW17,CDA 2027            01.06,Canada,"Canada, Government of...","3,620,841,000",CAD,97.88,5/1/1996,8.000%,1000,,regular interest,,6/1/2027,6/1/2026,,2.0,6/1/1996,5/31/2027,No,2026-01-05,107.3
Short-term,https://markets.businessinsider.com/bonds/8_000-canada-government-of-bond-2027-ca135087vw17?miRedirects=1,"1,490501,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,490501,1330,184&from=20260105&to=20260119",CA135087VW17,CDA 2027            01.06,Canada,"Canada, Government of...","3,620,841,000",CAD,97.88,5/1/1996,8.000%,1000,,regular interest,,6/1/2027,6/1/2026,,2.0,6/1/1996,5/31/2027,No,2026-01-06,107.35
Short-term,https://markets.businessinsider.com/bonds/8_000-canada-government-of-bond-2027-ca135087vw17?miRedirects=1,"1,490501,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,490501,1330,184&from=20260105&to=20260119",CA135087VW17,CDA 2027            01.06,Canada,"Canada, Government of...","3,620,841,000",CAD,97.88,5/1/1996,8.000%,1000,,regular interest,,6/1/2027,6/1/2026,,2.0,6/1/1996,5/31/2027,No,2026-01-07,107.32
Short-term,https://markets.businessinsider.com/bonds/8_000-canada-government-of-bond-2027-ca135087vw17?miRedirects=1,"1,490501,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,490501,1330,184&from=20260105&to=20260119",CA135087VW17,CDA 2027            01.06,Canada,"Canada, Government of...","3,620,841,000",CAD,97.88,5/1/1996,8.000%,1000,,regular interest,,6/1/2027,6/1/2026,,2.0,6/1/1996,5/31/2027,No,2026-01-08,107.35
Short-term,https://markets.businessinsider.com/bonds/8_000-canada-government-of-bond-2027-ca135087vw17?miRedirects=1,"1,490501,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,490501,1330,184&from=20260105&to=20260119",CA135087VW17,CDA 2027            01.06,Canada,"Canada, Government of...","3,620,841,000",CAD,97.88,5/1/1996,8.000%,1000,,regular interest,,6/1/2027,6/1/2026,,2.0,6/1/1996,5/31/2027,No,2026-01-09,107.32
Short-term,https://markets.businessinsider.com/bonds/8_000-canada-government-of-bond-2027-ca135087vw17?miRedirects=1,"1,490501,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,490501,1330,184&from=20260105&to=20260119",CA135087VW17,CDA 2027            01.06,Canada,"Canada, Government of...","3,620,841,000",CAD,97.88,5/1/1996,8.000%,1000,,regular interest,,6/1/2027,6/1/2026,,2.0,6/1/1996,5/31/2027,No,2026-01-12,107.3
Short-term,https://markets.businessinsider.com/bonds/8_000-canada-government-of-bond-2027-ca135087vw17?miRedirects=1,"1,490501,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,490501,1330,184&from=20260105&to=20260119",CA135087VW17,CDA 2027            01.06,Canada,"Canada, Government of...","3,620,841,000",CAD,97.88,5/1/1996,8.000%,1000,,regular interest,,6/1/2027,6/1/2026,,2.0,6/1/1996,5/31/2027,No,2026-01-13,107.27
Short-term,https://markets.businessinsider.com/bonds/8_000-canada-government-of-bond-2027-ca135087vw17?miRedirects=1,"1,490501,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,490501,1330,184&from=20260105&to=20260119",CA135087VW17,CDA 2027            01.06,Canada,"Canada, Government of...","3,620,841,000",CAD,97.88,5/1/1996,8.000%,1000,,regular interest,,6/1/2027,6/1/2026,,2.0,6/1/1996,5/31/2027,No,2026-01-14,107.26
Short-term,https://markets.businessinsider.com/bonds/8_000-canada-government-of-bond-2027-ca135087vw17?miRedirects=1,"1,490501,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,490501,1330,184&from=20260105&to=20260119",CA135087VW17,CDA 2027            01.06,Canada,"Canada, Government of...","3,620,841,000",CAD,97.88,5/1/1996,8.000%,1000,,regular interest,,6/1/2027,6/1/2026,,2.0,6/1/1996,5/31/2027,No,2026-01-15,107.27
Short-term,https://markets.businessinsider.com/bonds/8_000-canada-government-of-bond-2027-ca135087vw17?miRedirects=1,"1,490501,1330,184","https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,490501,1330,184&from=20260105&to=20260119",CA135087VW17,CDA 2027            01.06,Canada,"Canada, Government of...","3,620,841,000",CAD,97.88,5/1/1996,8.000%,1000,,regular interest,,6/1/2027,6/1/2026,,2.0,6/1/1996,5/31/2027,No,2026-01-16,107.26
