isin,coupon,coupon_rate,maturity_date,issue_date,years_to_maturity,2026-01-05,2026-01-06,2026-01-07,2026-01-08,2026-01-09,2026-01-12,2026-01-13,2026-01-14,2026-01-15,2026-01-16
CA135087R226,4.5000%,4.5,2026-02-01,2023-11-01,0.0739,100.14,100.135,100.13,100.12,100.11,100.1,100.09,100.085,100.08,100.08
CA135087L518,0.2500%,0.25,2026-03-01,2020-10-09,0.1506,99.7,99.7075,99.715,99.7225,99.73,99.7375,99.745,99.7525,99.76,99.76
CA135087P816,3.0000%,3.0,2026-04-01,2023-01-20,0.2355,100.15,100.15,100.15,100.15,100.15,100.15,100.15,100.15,100.15,100.15
CA135087R556,4.0000%,4.0,2026-05-01,2024-02-12,0.3176,100.49,100.49,100.49,100.49,100.49,100.47,100.47,100.46,100.47,100.46
CA135087E679,1.5000%,1.5,2026-06-01,2015-07-21,0.4025,,,,,,,,99.71,,
CA135087R978,4.0000%,4.0,2026-08-03,2024-05-06,0.5749,100.88,100.88,100.88,100.88,100.87,100.86,100.86,100.86,100.86,100.85
CA135087L930,1.0000%,1.0,2026-09-01,2021-04-16,0.6543,99.16,99.16,99.16,99.16,99.17,99.18,99.19,99.2,99.2,99.2
CA135087S398,3.2500%,3.25,2026-11-01,2024-08-02,0.8214,100.69,100.69,100.7,100.69,100.69,100.69,100.68,100.7,100.7,100.7
CA135087S547,3.0000%,3.0,2027-02-01,2024-11-01,1.0732,100.545,100.56,100.57,100.565,100.565,100.57,100.555,100.58,100.585,100.585
CA135087M847,1.2500%,1.25,2027-03-01,2021-10-15,1.1499,98.66,98.66,98.66,98.665,98.67,98.675,98.68,98.68,98.68,98.68
CA135087S885,2.7500%,2.75,2027-05-01,2025-02-20,1.3169,100.325,100.323,100.36,100.35,100.368,100.36,100.35,100.38,100.38,100.39
CA135087VW17,8.0000%,8.0,2027-06-01,1996-05-01,1.4,,,,,,107.3,,,,
CA135087F825,1.0000%,1.0,2027-06-01,2016-08-03,1.4018,,,,,,,97.97,,,
CA135087T461,2.5000%,2.5,2027-08-01,2025-05-15,1.5688,99.94,99.92,99.97,99.96,99.97,99.97,99.95,100.0,100.0,100.01
CA135087P733,3.2450%,3.245,2027-08-24,2022-12-02,1.6318,101.17,101.19,101.21,101.205,101.2,101.195,101.19,101.215,101.24,101.24
CA135087N837,2.7500%,2.75,2027-09-01,2022-05-13,1.6537,100.3,100.3,100.3,100.3,100.3,100.30333333333331,100.30666666666669,100.31,100.31,100.31
CA135087T610,2.5000%,2.5,2027-11-01,2025-08-15,1.8207,99.87,99.84,99.9,99.88,99.9,99.89,99.88,99.935,99.93,99.935
CA135087T958,2.2500%,2.25,2028-02-01,2025-11-14,2.0726,99.239,99.234,99.285,99.276,99.302,99.286,99.311,99.36,99.361,99.328
CA135087P576,3.5000%,3.5,2028-03-01,2022-10-21,2.152,101.73,101.75333333333332,101.77666666666669,101.8,101.79333333333334,101.78666666666666,101.78,101.79666666666668,101.81333333333332,101.83
CA135087H235,2.0000%,2.0,2028-06-01,2017-08-01,2.4038,98.55,98.56,98.57,98.58,98.59,98.6,98.61,98.61,98.61,98.61
CA135087Q491,3.2500%,3.25,2028-09-01,2023-04-21,2.6557,101.41,101.41,101.42,101.43,101.44,101.45,101.44,101.43,101.45,101.47
CA135087Q988,4.0000%,4.0,2029-03-01,2023-10-13,3.1513,103.63,103.67,103.71,103.72,103.73,103.725,103.72,103.755,103.79,103.79
CA135087WL43,5.7500%,5.75,2029-06-01,1998-02-02,3.4031,109.58,109.58,109.57,109.56,109.55,109.54,109.5525,109.565,109.5775,109.59
CA135087J397,2.2500%,2.25,2029-06-01,2018-07-27,3.4031,,,,,,98.39,,,,
CA135087R895,3.5000%,3.5,2029-09-01,2024-04-08,3.655,102.33,102.33,102.335,102.34,102.345,102.35,102.34,102.33,102.375,102.42
CA135087N670,2.2500%,2.25,2029-12-01,2022-03-29,3.9042,97.785,97.785,97.785,97.78333333333332,97.78166666666668,97.78,97.80333333333331,97.82666666666668,97.85,97.85
CA135087S471,2.7500%,2.75,2030-03-01,2024-10-03,4.1506,99.493,99.423,99.563,99.498,99.58,99.528,99.503,99.658,99.663,99.613
CA135087T388,2.7500%,2.75,2030-09-01,2025-04-10,4.6543,99.165,99.085,99.245,99.17,99.255,99.21,99.185,99.355,99.365,99.315
CA135087L443,0.5000%,0.5,2030-12-01,2020-10-05,4.9035,88.64,88.6875,88.735,88.7825,88.83,88.88499999999999,88.94,88.995,89.05,89.05
CA135087T792,2.7500%,2.75,2031-03-01,2025-10-02,5.1499,98.813,98.723,98.888,98.823,98.913,98.85,98.838,99.033,99.043,98.968
CA135087M276,1.5000%,1.5,2031-06-01,2021-04-26,5.4018,92.46,92.46,92.46,92.46,92.47,92.48,92.49,92.5,92.5,92.5
CA135087N266,1.5000%,1.5,2031-12-01,2021-10-25,5.9028,91.31,91.39666666666666,91.48333333333332,91.57,91.55333333333331,91.53666666666666,91.52,91.60666666666668,91.69333333333331,91.78
CA135087S968,3.0000%,3.0,2032-03-01,2025-02-26,6.152,99.47,99.36,99.6,99.49,99.595,99.55,99.51,99.725,99.75,99.7
CA135087N597,2.0000%,2.0,2032-06-01,2022-03-16,6.4038,93.49,93.49,93.49,93.52,93.55,93.58,93.63333333333333,93.68666666666668,93.74,93.74
CA135087P329,2.5000%,2.5,2032-12-01,2022-08-08,6.9049,95.528,95.65533333333332,95.78266666666669,95.91,95.90333333333334,95.89666666666666,95.89,95.95666666666666,96.02333333333334,96.09
CA135087XG49,5.7500%,5.75,2033-06-01,2001-10-15,7.4031,116.15,116.15,116.1975,116.245,116.2925,116.34,116.41,116.48,116.55,116.62
CA135087Q723,3.2500%,3.25,2033-12-01,2023-06-26,7.9042,99.64,99.7925,99.945,99.92,99.895,99.8725,99.85,99.99,100.13,100.13
