bond_page_url,error
https://markets.businessinsider.com/bonds/canadacd-bonds_202326-Bond-2026-ca135087r226,Missing tkData (cannot fetch chart data).
https://markets.businessinsider.com/bonds/canadacd-bonds_202026-Bond-2026-ca135087l518,Missing tkData (cannot fetch chart data).
https://markets.businessinsider.com/bonds/canadacd-bonds_202326-Bond-2026-ca135087p816,Missing tkData (cannot fetch chart data).
https://markets.businessinsider.com/bonds/canadacd-bonds_202426-Bond-2026-ca135087r556,Missing tkData (cannot fetch chart data).
https://markets.businessinsider.com/bonds/canadacd-bonds_201526-Bond-2026-ca135087e679,Missing tkData (cannot fetch chart data).
https://markets.businessinsider.com/bonds/canadacd-bonds_202426-Bond-2026-ca135087r978,Missing tkData (cannot fetch chart data).
https://markets.businessinsider.com/bonds/canadacd-bonds_202126-Bond-2026-ca135087l930,Missing tkData (cannot fetch chart data).
https://markets.businessinsider.com/bonds/canadacd-bonds_202426-Bond-2026-ca135087s398,Missing tkData (cannot fetch chart data).
https://markets.businessinsider.com/bonds/canadacd-bonds_202427-Bond-2027-ca135087s547,Missing tkData (cannot fetch chart data).
https://markets.businessinsider.com/bonds/canadacd-bonds_202127-Bond-2027-ca135087m847,Missing tkData (cannot fetch chart data).
https://markets.businessinsider.com/bonds/canadacd-bonds_202527-Bond-2027-ca135087s885,Missing tkData (cannot fetch chart data).
https://markets.businessinsider.com/bonds/canadacd-bonds_201627-Bond-2027-ca135087f825,Missing tkData (cannot fetch chart data).
https://markets.businessinsider.com/bonds/8_000-canada-government-of-Bond-2027-ca135087vw17,Missing tkData (cannot fetch chart data).
https://markets.businessinsider.com/bonds/canadacd-bonds_202527-Bond-2027-ca135087t461,Missing tkData (cannot fetch chart data).
https://markets.businessinsider.com/bonds/canadacd-bonds_202227-Bond-2027-ca135087p733,Missing tkData (cannot fetch chart data).
https://markets.businessinsider.com/bonds/canadacd-bonds_202227-Bond-2027-ca135087n837,Missing tkData (cannot fetch chart data).
https://markets.businessinsider.com/bonds/canadacd-bonds_202527-Bond-2027-ca135087t610,Missing tkData (cannot fetch chart data).
https://markets.businessinsider.com/bonds/canadacd-bonds_202528-Bond-2028-ca135087t958,Missing tkData (cannot fetch chart data).
https://markets.businessinsider.com/bonds/canadacd-bonds_202228-Bond-2028-ca135087p576,Missing tkData (cannot fetch chart data).
https://markets.businessinsider.com/bonds/canadacd-bonds_201728-Bond-2028-ca135087h235,Missing tkData (cannot fetch chart data).
https://markets.businessinsider.com/bonds/canadacd-bonds_202328-Bond-2028-ca135087q491,Missing tkData (cannot fetch chart data).
https://markets.businessinsider.com/bonds/canadacd-bonds_202329-Bond-2029-ca135087q988,Missing tkData (cannot fetch chart data).
https://markets.businessinsider.com/bonds/canadacd-bonds_201829-Bond-2029-ca135087j397,Missing tkData (cannot fetch chart data).
https://markets.businessinsider.com/bonds/5_750-canada-government-of-Bond-2029-ca135087wl43,Missing tkData (cannot fetch chart data).
https://markets.businessinsider.com/bonds/canadacd-bonds_202429-Bond-2029-ca135087r895,Missing tkData (cannot fetch chart data).
https://markets.businessinsider.com/bonds/canadacd-bonds_202229-Bond-2029-ca135087n670,Missing tkData (cannot fetch chart data).
https://markets.businessinsider.com/bonds/canadacd-bonds_202430-Bond-2030-ca135087s471,Missing tkData (cannot fetch chart data).
https://markets.businessinsider.com/bonds/canadacd-bonds_202530-Bond-2030-ca135087t388,Missing tkData (cannot fetch chart data).
https://markets.businessinsider.com/bonds/canadacd-bonds_202030_series_l443-Bond-2030-ca135087l443,Missing tkData (cannot fetch chart data).
https://markets.businessinsider.com/bonds/canadacd-bonds_202531-Bond-2031-ca135087t792,Missing tkData (cannot fetch chart data).
https://markets.businessinsider.com/bonds/canadacd-bonds_202131-Bond-2031-ca135087m276,Missing tkData (cannot fetch chart data).
https://markets.businessinsider.com/bonds/canadacd-bonds_202131-Bond-2031-ca135087n266,Missing tkData (cannot fetch chart data).
https://markets.businessinsider.com/bonds/canadacd-bonds_202532-Bond-2032-ca135087s968,Missing tkData (cannot fetch chart data).
https://markets.businessinsider.com/bonds/canadacd-bonds_202232-Bond-2032-ca135087n597,Missing tkData (cannot fetch chart data).
https://markets.businessinsider.com/bonds/canadacd-bonds_202232-Bond-2032-ca135087p329,Missing tkData (cannot fetch chart data).
https://markets.businessinsider.com/bonds/5_750-canada-government-of-Bond-2033-ca135087xg49,Missing tkData (cannot fetch chart data).
https://markets.businessinsider.com/bonds/canadacd-bonds_202333-Bond-2033-ca135087q723,Missing tkData (cannot fetch chart data).
https://markets.businessinsider.com/bonds/canadacd-bonds_202434-Bond-2034-ca135087r713,Missing tkData (cannot fetch chart data).
https://markets.businessinsider.com/bonds/canadacd-bonds_202334-Bond-2034-ca135087r481,Missing tkData (cannot fetch chart data).
https://markets.businessinsider.com/bonds/canadacd-bonds_202434-Bond-2034-ca135087s216,Missing tkData (cannot fetch chart data).
https://markets.businessinsider.com/bonds/canadacd-bonds_202535-Bond-2035-ca135087s620,Missing tkData (cannot fetch chart data).
https://markets.businessinsider.com/bonds/canadacd-bonds_202535-Bond-2035-ca135087t537,Missing tkData (cannot fetch chart data).
